"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AltStringArray"
"String","int","boolean","string","int","String","String"
"FEEDBACK_EMAIL",,,,,,
"FEEDBACK_EMAIL_ANDROID",,,,,,
"GAME_FACEBOOK_URL",,,,,,
"GAME_WEIBO_URL",,,,,,
"GAME_APPBANK_URL",,,,,,
"GAME_EXTERNAL_URL",,,,,,
"GAME_TWITTER_URL",,,,,,
"GAME_TWITTER_URL_JP",,,,,,
"TOS_URL",,,"http://www.supercell.net/terms-of-service",,,
"PRIVACY_POLICY_URL_JP",,,"http://supercell.co.jp/privacy-policy.html",,,
"TOS_URL_JP",,,"http://supercell.co.jp/terms-of-service.html",,,
"PRIVACY_POLICY_URL_KR",,,,,,
"TOS_URL_KR",,,,,,
"HELP_CENTER_LANGUAGES",,,,,"EN",
,,,,,"DE",
,,,,,"IT",
,,,,,"FR",
,,,,,"ES",
,,,,,"PT",
,,,,,"NL",
,,,,,"CN",
,,,,,"JP",
,,,,,"KR",
,,,,,"TR",
,,,,,"NO",
,,,,,"RU",
"FAQ_URL",,,,,,
"FORUMS_URL",,,,,,
"PRIVACY_POLICY_URL",,,"http://www.supercell.net/privacy-policy",,,
"FEEDBACK_CATEGORIES",,,,,"Purchasing Issue",
,,,,,"Connection Issue",
,,,,,"Report Problem",
,,,,,"Feedback",
,,,,,"Lost Village",
,,,,,"Account Locked",
"FEEDBACK_CATEGORY_BANNED",,,"Banned",,,
"APP_RATE_XP_LEVEL",11,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,,
"GAMECENTER_REAUTHORIZE",,"FALSE",,,,
"BILLING_PACK_NAMES_FROM_CSV",,"FALSE",,,,
"LOW_MEM_DEVICES",,,,,"iPod1",
,,,,,"iPod2",
,,,,,"iPod3",
,,,,,"iPod4",
,,,,,"iPad1",
,,,,,"iPhone2",
,,,,,"st25i",
"MEDIUM_GFX_DEVICES",,,,,"iPad2,1",
,,,,,"iPad2,2",
,,,,,"iPad2,3",
,,,,,"iPad2,4",
,,,,,"iPod5",
"LOW_GFX_DEVICES",,,,,"iPod1",
,,,,,"iPod2",
,,,,,"iPod3",
,,,,,"iPod4",
,,,,,"iPad1",
,,,,,"iPhone2",
,,,,,"iPhone3",
,,,,,"iPhone4",
,,,,,"iPad2,5",
,,,,,"iPad2,6",
,,,,,"iPad2,7",
