"Name",0
"String","int"
"Patrick Almgren",
"Mauritz Bart",
"Brad Bolinder",
"Paul Chambers",
"Dalei Chen",
"David Diaz",
"Jason Dou",
"Chris Duong",
"Anders Ehrenborg",
"James Ellis",
"Jon Franzas",
"Laura Gilliland",
"Stefan Hauk",
"Chih-Han Hsu",
"Juha Huotari",
"Aki Immonen",
"Tomi Joki-Korpela",
"Robert Kamphuis",
"Bill Kang",
"Frank Keienburg",
"Matti Kemppainen",
"WooHyun Kim",
"Terje Koskinen",
"Byeongmin Kwon",
"Petri Kärkäs",
"Mikko Laakkio",
"Christina Lee",
"Jimmy Lee",
"Mikko Lehtonen",
"Juha Leinonen",
"Ryan Lighton",
"Janne Lindholm",
"Agnes Liou",
"Chen Liu",
"Phillip Lockwood",
"Jonne Loikkanen",
"Frieda Ma",
"Lauri Manninen",
"Antti Mattila",
"Doug McCracken",
"Jani Mensonen",
"Yukiko Morishita",
"Jumpei Oki",
"Taneli Oksama",
"Jeff Ostler",
"Janne Peltola",
"Asko Puurula",
"Miika Pylkkö",
"Brianne Read",
"Antti Ripatti",
"Martin Schjøler",
"Mikko Sivulainen",
"Shawn Su",
"Antti Summala",
"Qianyue Sun",
"Tommi Suvinen",
"Nelly Sääksjärvi",
"Touko Tahkokallio",
"Ella-Roosa Tenhunen",
"Emily Tierney",
"Wilhelm Tigerstedt",
"Jouni Utriainen",
"Antti Varila",
"Félix Vivier",
"Slava Volkov",
"Kustaa Vuori",
"Jaakko Väyrynen",
"Toshizumi Waki",
"Ryan Wener",
"Julie Woo",
"Choong Yoon",
"Oscar Zhang",
"Jean Zoch",
