"Name","FileName","ExportName"
"String","String","String"
"BullGuyIdle","ui.sc","hero_portrait"
"BullGuyWalk","ui.sc","hero_portrait"
"BullGuyHappy","ui.sc","hero_portrait"
"BullGuySad","ui.sc","hero_portrait"
"BullGuySignature","ui.sc","hero_portrait"
"ShellyFace","characters.sc","shelly_face"
"ShellyBanditFace","characters.sc","shelly_bandit_face"
"JunkerStillFace","characters.sc","jessie_still_face"
"JunkerFace","characters.sc","jessie_face"
"JunkerDreamyFace","characters.sc","jessie_dreamy_face"
"JunkerKnightDarkStill","characters.sc","jessie_knightdark_still"
"JunkerKnightDarkIdle","characters.sc","jessie_knightdark_idle"
"ColtFace","characters.sc","colt_face"
"BullFace","characters.sc","bull_face"
"PamFace","characters.sc","pam_face"
"CrowFace","characters.sc","crow_face"
"TaraFaceIdle","characters.sc","tara_idle"
"TaraFaceWin","characters.sc","tara_win"
"TaraFaceWinLoop","characters.sc","tara_winloop"
"TaraFaceLose","characters.sc","tara_lose"
"TaraFaceLoseloop","characters.sc","tara_loseloop"
"MortisFace","characters.sc","mortis_face"
"MortisWin","characters.sc","mortis_win"
"MortisWinloop","characters.sc","mortis_winloop"
"PennyFace","characters.sc","penny_face"
"LeonIdle","characters.sc","leon_idle"
"LeonWin","characters.sc","leon_win"
"LeonWinLoop","characters.sc","leon_winloop"
"LeonLose","characters.sc","leon_lose"
"LeonLoseLoop","characters.sc","leon_loseloop"
"MortisNightwitchWin","characters.sc","mortis_nightwitch_win"
"MortisNightwitchFace","characters.sc","mortis_nightwitch_face"
"MortisNightwitchWinloop","characters.sc","mortis_nightwitch_winloop"
"CarlIdle","characters.sc","carl_idle"
"CarlAngry","characters.sc","carl_angry"
"CarlAngryloop","characters.sc","carl_angry_loop"
"BarleyMsFace","characters.sc","barley_ms_face"
"BarleyMsLose","characters.sc","barley_ms_lose"
"BarleyMsLoseloop","characters.sc","barley_ms_loseloop"
"CarlHotrodIdle","characters.sc","hotrod_carl_idle"
"CarlHotrodAngry","characters.sc","hotrod_carl_angry"
"CarlHotrodAngryloop","characters.sc","hotrod_carl_angry_loop"
"Bibi_Idle","characters.sc","bibi_face"
"Bibi_Win","characters.sc","bibi_win"
"DynamikeRoboFace","characters.sc","mecha_mike_face"
"DynamikeRoboLose","characters.sc","mecha_mike_lose"
"DynamikeRoboLoseloop","characters.sc","mecha_mike_loseloop"
"8bitFace","characters.sc","bit_angry"
"8bitLose","characters.sc","bit_continue"
"8bitLooseloop","characters.sc","bit_gameover"
"8bitClassicFace","characters.sc","bit_classic_angry"
"PiperIdleOpen","characters.sc","piper_idle_open"
"PiperIdleClosed","characters.sc","piper_idle_closed"
"PiperWin","characters.sc","piper_win"
"PiperWinLoop","characters.sc","piper_idle_closed"
"PrimoElreyIdle","characters.sc","primo_elrey_idle"
"SandyIdle","characters.sc","sandy_idle"
"SandyWin","characters.sc","sandy_win"
"SandyWinloop","characters.sc","sandy_winloop"
"SandyWalk","characters.sc","sandy_walk"
"SandyProfile","characters.sc","sandy_profile"
"PiperRoseIdleOpen","characters.sc","rose_idle_open"
"PiperRoseIdleClosed","characters.sc","rose_idle_closed"
"PiperRoseWin","characters.sc","rose_win"
"PiperRoseWinLoop","characters.sc","rose_idle_closed"
"FrankIdle","characters.sc","frank_idle"
"FrankDJIdle","characters.sc","dj_idle"
"FrankDJWin","characters.sc","dj_win"
"FrankDJWinLoop","characters.sc","dj_winLoop"
"LeonWolfIdle","characters.sc","wolf_leon_idle"
"LeonWolfWin","characters.sc","wolf_leon_win"
"EmzIdle","characters.sc","emz_idle"
"EmzWin","characters.sc","emz_win"
"EmzWinLoop","characters.sc","emz_winloop"
"EmzFront","characters.sc","emz_front"
"EmzLose","characters.sc","emz_lose"
"EmzLoseLoop","characters.sc","emz_loseloop"
