Name,MaxParticleCount,MinLife,MaxLife,ParticleMinInterval,ParticleMaxInterval,ParticleMinLife,ParticleMaxLife,ParticleMinAngle,ParticleMaxAngle,ParticleAngleRelativeToParent,ParticleRandomAngle,ParticleMinRadius,ParticleMaxRadius,ParticleMinSpeed,ParticleMaxSpeed,ParticleStartZ,ParticleMinVelocityZ,ParticleMaxVelocityZ,ParticleGravity,ParticleMinTailLength,ParticleMaxTailLength,ParticleResource,ParticleExportName,RotateToDirection,LoopParticleClip,StartScale,EndScale,FadeOutDuration,Inertia,EnemyVersion
string,int,int,int,int,int,int,int,int,int,boolean,boolean,int,int,int,int,int,int,int,int,int,int,string,string,boolean,boolean,int,int,int,int,string
music_note_particle_ulti_red,10,400,1000,,200,400,1000,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_red,,,150,50,100,20,
music_note_particle_ulti,10,400,1000,,200,400,1000,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note,,,150,50,100,20,music_note_particle_ulti_red
music_note_particle_red,3,100,200,,200,200,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_red,,,100,50,500,20,
music_note_particle,3,100,200,,200,200,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_1,,,80,10,500,20,music_note_particle_red
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,music_note_2,,,,,,,
magic_native_particle_red,20,150,200,,1000,1000,1200,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,magic_particle_red,,true,100,1,500,20,
magic_native_particle,20,150,200,,1000,1000,1200,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,magic_particle,,,100,1,500,20,magic_native_particle_red
heal_particle,3,600,800,,200,500,600,,360,,true,3,5,20,80,200,,50,200,,,sc/effects.sc,Heal_particle,,,100,1,20,100,
sware_particle,3,800,800,,10,600,800,-360,90,,true,3,7,20,100,100,1,50,35,,,sc/effects.sc,sware_01,,,180,50,500,40,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_04,,,,,,,
