"Name","OfferType","IconFrameNumber","MaxResourcePerFrame","FileName","ShopItemAsset","ShopItemBg","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","BrawlidaysOfferAsset","LegendaryOfferAsset","ConfirmItemAsset","ConfirmItemBg","OfferAssetSmall","OfferAssetLarge"
"String","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String"
"FreeBox",0,0,,"sc/ui.sc","shop_item_resourses_boxes","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_6","shop_popupprice_wrapper_1",,
"UpgradeMaterial",1,0,200,"sc/ui.sc","shop_item_resourses_coins","shop_price_wrapper_1","shop_item_resourses_coins",,,,"shop_item_resourses_coins",,"shop_popupprice_wrapper_1","offer_item_coins_small","offer_item_coins_big"
,,1,500,,,,,,,,,,,,
,,2,1500,,,,,,,,,,,,
,,3,-1,,,,,,,,,,,,
"GuaranteedBox",2,,,"sc/ui.sc","shop_item_brawler","shop_price_wrapper_1","shop_item_brawler",,,,"shop_item_brawler",,"shop_popupprice_wrapper_1","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_big"
"GuaranteedHero",3,,,"sc/ui.sc","shop_listitem_3","shop_price_wrapper_1","shop_listitem_3",,,,"shop_listitem_3",,"shop_popupprice_wrapper_1","offer_item_brawler_small","offer_item_brawler_big"
"Skin",4,,,"sc/ui.sc","shop_listitem_4","shop_price_wrapper_1","shop_listitem_4","shop_item_skins","shop_item_skins_coming_soon","shop_item_brawlidays_skins","shop_item_legendary_skins",,"shop_popupprice_wrapper_1","offer_item_brawler_small","offer_item_brawler_big"
"StarPower",5,,,"sc/ui.sc","shop_item_starpower","shop_price_wrapper_1","shop_item_starpower",,,,"shop_item_starpower",,"shop_popupprice_wrapper_1","offer_item_star_power_small","offer_item_star_power_big"
"BrawlBox",6,0,,"sc/ui.sc","shop_item_resourses_boxes","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_6","shop_popupprice_wrapper_1","offer_item_boxes_small","offer_item_boxes_big"
"Ticket",7,0,10,"sc/ui.sc","shop_item_resourses_tickets","shop_price_wrapper_1","shop_item_resourses_tickets",,,,"shop_item_resourses_tickets",,"shop_popupprice_wrapper_1","offer_item_tickets_small","offer_item_tickets_big"
,,1,50,,,,,,,,,,,,
,,2,-1,,,,,,,,,,,,
"HeroPower",8,,,"sc/ui.sc","shop_item_powerpoints","shop_price_wrapper_1","shop_item_powerpoints",,,,"shop_item_powerpoints",,"shop_popupprice_wrapper_1","offer_item_brawler_ppoints_small","offer_item_brawler_ppoints_big"
"CoinDoubler",9,,,"sc/ui.sc","shop_item_resourses_coin_doubler","shop_price_wrapper_1","shop_item_coin_doubler",,,,"shop_item_coin_doubler",,"shop_popupprice_wrapper_1","offer_item_token_doubler_small","offer_item_token_doubler_big"
"BigBox",10,2,,"sc/ui.sc","shop_item_resourses_boxes","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_10","shop_popupprice_wrapper_1","offer_item_boxes_small","offer_item_boxes_big"
"Keys",11,,,"sc/ui.sc","shop_listitem_11","shop_price_wrapper_1","shop_listitem_11",,,,"shop_listitem_11",,"shop_popupprice_wrapper_1","shop_listitem_11","shop_largeitem_11"
"WildcardPower",12,,,"sc/ui.sc","shop_listitem_12","shop_price_wrapper_1","shop_listitem_12",,,,"shop_listitem_12",,"shop_popupprice_wrapper_1","offer_item_power_points_small","offer_item_power_points_big"
"EventSlot",13,,,"sc/ui.sc","shop_listitem_13","shop_price_wrapper_1","shop_listitem_13",,,,"shop_listitem_13",,"shop_popupprice_wrapper_1","shop_listitem_13","shop_largeitem_13"
"MediumBox",14,1,,"sc/ui.sc","shop_item_resourses_boxes","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_14","shop_popupprice_wrapper_1","offer_item_boxes_small","offer_item_boxes_big"
"AdBox",15,,,"sc/ui.sc",,,,,,,,,,,
"Gems",16,,,"sc/ui.sc","shop_item_resourses_gems","shop_price_wrapper_1","shop_item_resourses_gems",,,,"shop_item_resourses_gems",,"shop_popupprice_wrapper_1","offer_item_gems_small","offer_item_gems_big"
