"Name","ParentAreaEffectForSkin","FileName","OwnExportName","BlueExportName","RedExportName","Layer","ExportNameTop","ExportNameObject","Effect","LoopingEffect","Scale","TimeMs","Radius","Damage","CustomValue","Type","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionItem","DestroysEnvironment","PushbackStrength","PushbackStrengthSelf","FreezeStrength","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs","DontShowToEnemy"
"string","string","string","string","string","string","string","string","string","string","string","int","int","int","int","int","string","string","int","string","boolean","int","int","int","boolean","int","boolean"
"Brock_def_atk_area",,"sc/effects.sc",,,,"GroundHigh",,,"brock_def_explosion_blue",,70,700,300,,,"Damage",,,,,,,,,,
"Brock_def_ulti_area",,"sc/effects.sc",,,,"GroundHigh",,,"brock_def_ultiExp_blue",,100,700,450,,,"Damage",,,,"true",,,,,,
"Brock_002_atk_area","Brock_def_atk_area","sc/effects.sc",,,,"GroundHigh",,,"brock_002_explosion_blue",,70,,,,,,,,,,,,,,,
"Brock_002_ulti_area","Brock_def_ulti_area","sc/effects.sc",,,,"GroundHigh",,,"brock_def_ultiExp_blue",,100,,,,,,,,,,,,,,,
"Brock_004_atk_area","Brock_def_atk_area","sc/effects.sc",,,,"GroundHigh",,,"brock_004_explosion_blue",,70,,,,,,,,,,,,,,,
"Brock_004_ulti_area","Brock_def_ulti_area","sc/effects.sc",,,,"GroundHigh",,,"brock_004_ultiExp_blue",,100,,,,,,,,,,,,,,,
"RocketGirlExplosion",,"sc/effects.sc","range400_blue","range400_blue","range400_red","GroundHigh",,,"explosion_rocket_rose",,70,700,300,,,"Damage",,,,,,,,,,
"RocketGirlUltiExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"explosion_rocket_rose_ulti",,100,700,450,,,"Damage",,,,"true",,,,,,
"CactusExplosion",,"sc/effects.sc",,,,"GroundHigh",,,"spike_def_atk1_explosion",,70,700,300,,,"Damage",,,,,,,,,,
"CactusSpikeExplosion",,"sc/effects.sc",,,,"GroundHigh",,,,,100,700,300,,6,"BulletExplosion","CactusSpike",13,,,,,,,,
"CactusUltiExplosion",,"sc/effects.sc",,,,"GroundHigh",,,"spike_def_ulti_explosion",,170,4500,800,800,,"Dot",,,,,,,350,,,
"Spike_002_atk1_explosion","CactusExplosion","sc/effects.sc",,,,"GroundHigh",,,"spike_002_atk1_explosion",,70,,,,,,,,,,,,,,,
"Spike_002_atk2","CactusSpikeExplosion","sc/effects.sc",,,,"GroundHigh",,,,,100,,,,,,"Spike002Spike",,,,,,,,,
"Spike_002_ulti_explosion","CactusUltiExplosion","sc/effects.sc",,,,"GroundHigh",,,"spike_002_ulti_explosion",,170,,,,,,,,,,,,,,,
"Spike_003_atk1_explosion","CactusExplosion","sc/effects.sc",,,,"GroundHigh",,,"spike_003_atk1_explosion",,70,,,,,,,,,,,,,,,
"Spike_003_atk2","CactusSpikeExplosion","sc/effects.sc",,,,"GroundHigh",,,,,100,,,,,,"Spike003Frag",,,,,,,,,
"Spike_003_ulti_explosion","CactusUltiExplosion","sc/effects.sc",,,,"GroundHigh",,,"spike_003_ulti_explosion",,170,,,,,,,,,,,,,,,
"Barley_def_atk",,"sc/effects.sc",,,,"GroundHigh",,,"barley_def_atk",,55,1900,600,,,"Dot",,,,,,,,,,
"Barley_def_ulti",,"sc/effects.sc",,,,"GroundHigh",,,"barley_def_ulti",,55,3900,600,,,"Dot",,,,,,,,,1000,
"Barley_002_atk","Barley_def_atk","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","GroundHigh",,,"barley_002_atk",,55,,,,,,,,,,,,,,,
"Barley_002_ulti","Barley_def_ulti","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","GroundHigh",,,"barley_002_ulti",,55,,,,,,,,,,,,,,,
"Barley_004_atk","Barley_def_atk","sc/effects.sc",,,,"GroundHigh",,,"barley_004_atk",,55,,,,,,,,,,,,,,,
"Barley_004_ulti","Barley_def_ulti","sc/effects.sc",,,,"GroundHigh",,,"barley_004_ulti",,55,,,,,,,,,,,,,,,
"Barley_005_atk","Barley_def_atk","sc/effects.sc",,,,"GroundHigh",,,"barley_005_atk",,55,,,,,,,,,,,,,,,
"Barley_005_ulti","Barley_def_ulti","sc/effects.sc",,,,"GroundHigh",,,"barley_005_ulti",,55,,,,,,,,,,,,,,,
"Bo_def_ulti1_area",,"sc/effects.sc",,,,"GroundHigh",,,"bo_def_ulti1_explosion",,70,700,300,,,"Effect",,,,,,,,,,
"Bo_def_ulti2_area",,"sc/effects.sc",,,,"GroundHigh",,,"bo_def_ulti2_explosion",,133,700,600,99,,"Damage",,,,"true",70,,,,,
"BarkeepExplosion",,"sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","GroundHigh",,,"explosion_barkeep",,55,1900,600,,,"Dot",,,,,,,,,,
"BarkeepWizardExplosion","BarkeepExplosion","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","GroundHigh",,,"explosion_barkeep_wizard",,55,,,,,,,,,,,,,,,
"BarkeepUltiExplosion",,"sc/effects.sc","toxic_area_effect_ulti_blue","toxic_area_effect_ulti_blue","toxic_area_effect_red","GroundHigh",,,"explosion_barkeep_ulti",,55,3900,600,,,"Dot",,,,,,,,,1000,
"BarkeepWizardUltiExplosion","BarkeepUltiExplosion","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","GroundHigh",,,"explosion_ulti_barkeep_wizard",,55,,,,,,,,,,,,,,,
"ExplodingBarrelExplosion",,"sc/effects.sc","gen_explosion_ring1_area","gen_explosion_ring1_area","gen_explosion_ring1_area","GroundHigh",,,"explosion_600",,100,700,600,2000,,"Damage",,,,"true",120,,,,,
"PoisonBarrelExplosion",,"sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","GroundHigh",,,"explosion_800",,100,10500,800,400,,"Dot",,,,,,,,,,
"TntDudeExplosion",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"explosion_tnt_dude",,100,700,450,,,"Damage",,,,,,150,,,,
"TntDudeUltiExplosion",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"explosion_tnt_dude_ulti",,165,700,800,,,"Damage",,,,"true",150,250,,,,
"BowDudeExplosion",,"sc/effects.sc","range400_blue","range400_blue","range400_red","GroundHigh",,,"explosion_bow_dude",,70,700,300,,,"Damage",,,,,,,,,,
"CrowUltiKnifes",,"sc/effects.sc",,,,"GroundHigh",,,,,100,700,300,,14,"BulletExplosion","CrowUltiProjectile",22,,,,,,,,
"HealingStationHeal",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"pam_def_ulti_area_active","pam_def_ulti_area_loop",125,600000,1000,-320,,"Hot",,,,,,,,,,
"Heal",,"sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","GroundHigh",,,,,100,700,800,-560,,"Heal",,,,,,,,,,
"MineExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"explosion_600",,133,700,600,99,,"Damage",,,,"true",70,,,,,
"SniperBombExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"explosion_600",,133,700,600,99,,"Damage",,,,"true",70,,,,,
"BlackHoleUltiExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"blackhole_ulti_damage",,100,1400,450,,700,"DelayedDamage",,,,"true",50,,,,,
"BlackHoleUltiSuck",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"blackhole_ulti_suck",,235,700,1200,,,"Pushback",,,,,-150,,,,,
"ArtilleryDudeTurretExplosion",,"sc/effects.sc",,,,"GroundHigh",,,"penny_def_turret_explosion",,100,700,450,,,"Damage",,,,,,,,,,
"SelfDestructExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"explosion_artillery_dude_turret",,100,700,450,,,"Damage",,,,,,,,,,
"HealWithAutoAttack",,"sc/effects.sc",,,,"GroundHigh",,,,"pam_def_starPower",125,250,1000,-320,,"Heal",,,,,,,,,,
"BurnMainAttack",,"sc/effects.sc",,,,"GroundHigh",,,"brock_def_starPower",,28,2900,300,,,"Dot",,,,,,,,,,
"PowerupSpawn",,"sc/effects.sc","power_area_effect_blue","power_area_effect_blue","power_area_effect_blue","GroundHigh",,,"powerup_indicator",,40,5000,300,,,"Effect",,,,,,,,"true",,
"BossSpawn",,"sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","GroundHigh",,,"boss_warning",,40,5000,300,,,"Effect",,,,,,,,"true",,
"EventExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"meteor_area_explosion",,225,700,1200,2000,,"Damage",,,,"true",150,250,,,,
"ExplosionSpawn",,"sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","Above","meteor_ball_animation",,"meteor_warning",,126,2500,800,,,"Effect",,,,,,,,"true",,
"ClusterBombExplosion",,"sc/effects.sc",,,,"GroundHigh",,,"tick_def_atk1_explode",,100,700,800,,3,"BulletExplosion",,6,"ClusterMine",,,,,,,
"ClusterBombExplosion2",,"sc/effects.sc",,,,"GroundHigh",,,"brock_def_ultiExp_blue",,100,700,468,99,,"Damage",,,,,,,,,,
"Sandstorm",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"sandy_def_ulti_loop",,1000,9000,2000,,,"SmokeScreen",,,,,,,,,,
"EventHealing",,"sc/effects.sc","healing_mushroom_area_effect_02","healing_mushroom_area_effect_02","healing_mushroom_area_effect_02","GroundHigh",,,,"mushroom_heal",125,5000,1000,-1000,,"Hot",,,,,,,,,,
"HealingSpawn",,"sc/effects.sc","healing_mushroom_area_effect","healing_mushroom_area_effect","healing_mushroom_area_effect","GroundHigh",,,"healing_spawn",,125,2500,800,,,"Effect",,,,,,,,,,
"RaidBossExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"raidboss_rocket_explosion",,185,700,1000,2000,,"Damage",,,,"true",150,250,,,,
"RaidBossExplosionSpawn",,"sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","GroundHigh",,,"raidboss_rocket_warning",,105,2000,800,,,"Effect",,,,,,,,"true",,
"RaidBossRocketBurn",,"sc/effects.sc","brock_ground_fire_red","brock_ground_fire_red","brock_ground_fire_red","GroundHigh",,,"burning_ground_raid_boss",,100,6900,1000,,,"Dot",,,,,,,,"true",,
"HeroSpawn",,"sc/effects.sc","hero_spawn_green","hero_spawn_blue","hero_spawn_red","Above",,,"hero_spawn",,35,2100,300,,,"HeroSpawn",,,,,,,,,,
"AutoHeal",,"sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","GroundHigh",,,,"heal_area_fx",125,350,1000,-320,,"Heal",,,,,,,,,,"true"
"RoboWarsBoxSpawn",,"sc/effects.sc","power_area_effect_blue","power_area_effect_blue","power_area_effect_blue","GroundHigh",,,,,30,2500,300,,,"Effect",,,,,,,,,,
"RoboWarsBaseExplosion",,"sc/effects.sc","range400_blue","range400_blue","range400_red","GroundHigh",,,"brock_def_explosion_blue",,70,700,300,,,"Effect",,,,,,,,,,
"RoboWarsBaseAreaIndicator",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,,,650,600000,4000,,,"Effect",,,,,,,,,,
"ClusterBombPetExplosion",,"sc/effects.sc",,,,"GroundHigh",,,"bo_def_ulti2_explosion",,133,700,600,99,,"Damage",,,,"true",120,,,,,
"BurnUlti",,"sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","GroundHigh",,,"barley_002_ulti",,55,3900,600,,,"Dot",,,,,,,,,,
"SpikeExplosionLowHealth",,"sc/effects.sc",,,,"GroundHigh",,,,,100,700,300,,6,"BulletExplosion","CactusSpike",13,,,,,,,,
"DamageBoost",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"arcade_def_ulti_area_active","arcade_def_ulti_area_loop",125,600000,1000,30,,"DamageBoost",,,,,,,,,,
"DamageBoost_larger",,"sc/effects_brawler.sc",,,,"GroundHigh",,,"arcade_def_ulti_areaBig_active","arcade_def_ulti_areaBig_loop",188,600000,1500,30,,"DamageBoost",,,,,,,,,,
"BurnMainAttackWater","BurnMainAttack","sc/effects.sc",,,,"GroundHigh",,,"brock_004_starPower",,28,2900,300,,,"Dot",,,,,,,,,,
"MummyUltiArea",,"sc/effects_brawler.sc","emz_def_ulti_area","emz_def_ulti_area","emz_def_ulti_area_red","GroundHigh",,,"emz_def_ulti",,350,5000,1700,200,,"Dot",,,,,,,350,,,
"BossRaceBossRocketExplosion",,"sc/effects.sc","range450_blue","range450_blue","range450_red","GroundHigh",,,"bossrace_rocket_explosion",,185,700,1000,2000,,"Damage",,,,"true",150,250,,,,
