"Name","TID","Location","AllowedHeroes","Reward","LevelGenerationSeed","Map","Enemies","EnemyLevel","Boss","BossLevel","Base","NumBases","BaseLevel","Tower","NumTowers","TowerLevel","RequiredStars"
"string","string","string","string","String","int","string","string","int","string","int","string","int","int","string","int","int","int"
"Campaign_tutorial_1",,"Planet1","GenericSoldier","Diamonds:3:",,"Pvp1","CampaignAlienRanged",1,,,"CampaignBase",0,1,"CampaignCannon",0,1,3
"Campaign_tutorial_2",,"Planet1","GenericSoldier","Diamonds:3:",,"Pvp2","CampaignAlienRanged",1,,,"CampaignBase",0,1,"CampaignCannon",0,1,4
"Campaign_tutorial_3",,"Planet1","GenericSoldier","Diamonds:3:",,"Pvp3","CampaignAlienRanged",1,,,"CampaignBase",0,1,"CampaignCannon",0,1,5
"Campaign_1",,"Planet1","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",4,,,"CampaignBase",1,4,"CampaignCannon",2,4,10
"Campaign_2",,"Planet1","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",3,,,"CampaignBase",1,3,"CampaignCannon",3,3,9
"Campaign_3",,"Planet1","GenericSoldier","Diamonds:3:",,"Pvp4","CampaignAlienRangedFast,CampaignAlienMeleeFast",5,,,"CampaignBase",0,5,"CampaignCannon",0,5,7
"Campaign_4",,"Planet2","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",1,,,"CampaignDrone",1,1,"CampaignCannon",0,1,6
"Campaign_4_1",,"Planet2","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",6,,,"CampaignBase",1,6,"CampaignCannon",2,6,12
"Campaign_5",,"Planet2","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",6,,,"CampaignBase",1,6,"CampaignCannon",3,6,12
"Campaign_6",,"Planet2","GenericSoldier","Diamonds:3:",,"Pvp5","CampaignAlienRangedFast,CampaignAlienMeleeFast",8,,,"CampaignBase",0,8,"CampaignCannon",0,8,10
"Campaign_7",,"Planet2","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",3,,,"CampaignDrone",1,3,"CampaignCannon",0,3,9
"Campaign_8",,"Planet2","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",8,,,"CampaignBase",1,8,"CampaignCannon",2,8,14
"Campaign_9",,"Planet3","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",8,,,"CampaignBase",1,8,"CampaignCannon",3,8,14
"Campaign_10",,"Planet3","GenericSoldier","Diamonds:3:",,"Pvp6","CampaignAlienRangedFast,CampaignAlienMeleeFast",9,,,"CampaignBase",0,9,"CampaignCannon",0,9,11
"Campaign_11",,"Planet3","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",4,,,"CampaignDrone",1,4,"CampaignCannon",0,4,10
"Campaign_12",,"Planet3","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",10,,,"CampaignBase",1,10,"CampaignCannon",2,10,16
"Campaign_13",,"Planet3","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",9,,,"CampaignBase",1,9,"CampaignCannon",3,9,15
"Campaign_14",,"Planet3","GenericSoldier","Diamonds:3:",,"Pvp7","CampaignAlienRangedFast,CampaignAlienMeleeFast",10,,,"CampaignBase",0,10,"CampaignCannon",0,10,12
"Campaign_15",,"Planet4","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",6,,,"CampaignDrone",1,6,"CampaignCannon",0,6,12
"Campaign_16",,"Planet4","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",11,,,"CampaignBase",1,11,"CampaignCannon",2,11,17
"Campaign_17",,"Planet4","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",10,,,"CampaignBase",1,10,"CampaignCannon",3,10,16
"Campaign_18",,"Planet4","GenericSoldier","Diamonds:3:",,"Pvp8","CampaignAlienRangedFast,CampaignAlienMeleeFast",12,,,"CampaignBase",0,12,"CampaignCannon",0,12,14
"Campaign_19",,"Planet4","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",6,,,"CampaignDrone",1,6,"CampaignCannon",0,6,12
"Campaign_20",,"Planet4","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",12,,,"CampaignBase",1,12,"CampaignCannon",2,12,18
"Campaign_21",,"Planet5","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",11,,,"CampaignBase",1,11,"CampaignCannon",3,11,17
"Campaign_22",,"Planet5","GenericSoldier","Diamonds:3:",,"Pvp9","CampaignAlienRangedFast,CampaignAlienMeleeFast",12,,,"CampaignBase",0,12,"CampaignCannon",0,12,14
"Campaign_23",,"Planet5","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",8,,,"CampaignDrone",1,8,"CampaignCannon",0,8,14
"Campaign_24",,"Planet5","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",13,,,"CampaignBase",1,13,"CampaignCannon",2,13,19
"Campaign_25",,"Planet5","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",12,,,"CampaignBase",1,12,"CampaignCannon",3,12,18
"Campaign_26",,"Planet5","GenericSoldier","Diamonds:3:",,"Pvp10","CampaignAlienRangedFast,CampaignAlienMeleeFast",14,,,"CampaignBase",0,14,"CampaignCannon",0,14,16
"Campaign_27",,"Planet6","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",8,,,"CampaignDrone",1,8,"CampaignCannon",0,8,14
"Campaign_28",,"Planet6","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",14,,,"CampaignBase",1,14,"CampaignCannon",2,14,20
"Campaign_29",,"Planet6","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",13,,,"CampaignBase",1,13,"CampaignCannon",3,13,19
"Campaign_30",,"Planet6","GenericSoldier","Diamonds:3:",,"Pvp1","CampaignAlienRangedFast,CampaignAlienMeleeFast",14,,,"CampaignBase",0,14,"CampaignCannon",0,14,16
"Campaign_31",,"Planet6","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",9,,,"CampaignDrone",1,9,"CampaignCannon",0,9,15
"Campaign_32",,"Planet6","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",15,,,"CampaignBase",1,15,"CampaignCannon",2,15,21
"Campaign_33",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",14,,,"CampaignBase",1,14,"CampaignCannon",3,14,20
"Campaign_34",,"Planet7","GenericSoldier","Diamonds:3:",,"Pvp2","CampaignAlienRangedFast,CampaignAlienMeleeFast",15,,,"CampaignBase",0,15,"CampaignCannon",0,15,17
"Campaign_35",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",10,,,"CampaignDrone",1,10,"CampaignCannon",0,10,16
"Campaign_36",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense3","CampaignAlienRanged,CampaignAlienMelee",16,,,"CampaignBase",1,16,"CampaignCannon",2,16,22
"Campaign_37",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense2","CampaignAlienRanged,CampaignAlienMelee",14,,,"CampaignBase",1,14,"CampaignCannon",3,14,20
"Campaign_38",,"Planet7","GenericSoldier","Diamonds:3:",,"Pvp3","CampaignAlienRangedFast,CampaignAlienMeleeFast",16,,,"CampaignBase",0,16,"CampaignCannon",0,16,18
"Campaign_39",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",11,,,"CampaignDrone",1,11,"CampaignCannon",0,11,17
"Campaign_40",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",15,,,"CampaignBase",1,15,"CampaignCannon",4,15,21
"Campaign_41",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",16,,,"CampaignBase",1,15,"CampaignCannon",4,15,22
"Campaign_42",,"Planet7","GenericSoldier","Diamonds:3:",,"Defense1","CampaignAlienRanged,CampaignAlienMelee",17,,,"CampaignBase",1,15,"CampaignCannon",4,15,23
