"Name","Variation","Disabled","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreTextEnd"
"string","int","Boolean","string","string","string","string","string","string","string","string"
"GemGrab",0,,,"chat_letsplay_gemgrab","event_gameroom_gemgrab","event_icon_gemgrab",,,,
"Deleted1",1,"TRUE",,,,,,,,
"Heist",2,,,"chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,
"Bounty",3,,,"chat_letsplay_wanted","event_gameroom_wanted","event_icon_wanted",,,,
"Deleted2",4,"TRUE",,,,,,,,
"BrawlBall",5,,,"chat_letsplay_brawlball","event_gameroom_brawlball","event_icon_brawlball","Brawlbawl_goal","Brawlbawl_other_goal","TID_GOAL","TID_GOAL_MATCH_OVER"
"Showdown",6,,,"chat_letsplay_survival","event_gameroom_survival","event_icon_survival",,,,
"BigGame",7,,,"chat_letsplay_bossmode","event_gameroom_bossmode","event_icon_bossmode",,,,
"RoboRumble",8,,,"chat_letsplay_coop","event_gameroom_coop","event_icon_coop",,,,
"DuoShowdown",9,,,"chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,
"BossFight",10,,,"chat_letsplay_raid","event_gameroom_raid","event_icon_raid",,,,
"Siege",11,,,"chat_letsplay_robowars","event_gameroom_robowars","event_icon_robowars",,,,
"Tutorial",12,,,,,,,,,
"Training",13,,,,,,,,,
"Takedown",14,,,"chat_letsplay_takedown","event_gameroom_takedown","event_icon_takedown",,,,
"LoneStar",15,,,"chat_letsplay_lone_star","event_gameroom_lone_star","event_icon_lone_star",,,,
"CTF",16,,,"chat_letsplay_ctf","event_gameroom_ctf","event_icon_ctf","Brawl_xmas_flag_win","Brawl_xmas_flag_lose","TID_CTF_GOAL","TID_CTF_GOAL_MATCH_OVER"
