"Name","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","FragileSCW","FragileMesh","FragileAngleStep","WaterTileSCW","FenceSCW","IndestructibleSCW","IndestructibleMesh","BenchSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewGemGrabSpawnHoleExportName"
"string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","int","string","string","int","string","string","string","string","string","string","string","string","string","int","int","int","string"
"Retropolis","sc3d/rock_retropolis_1.scw","rock_retropolis_1",90,"sc3d/car_tires.scw",,90,"sc3d/crate2.scw","crate_1",0,"sc3d/barrel2.scw","barrel_2",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass5.scw","sc3d/grass5.scw","sc3d/plant_retropolis_small.scw","plant_retropolis",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_retropolis.scw","sc3d/retropolis_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"sc3d/mine_gem_spawn_retropolis.scw",,,90,66,111,"retropolis_spawn_hole"
,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,,,,,,,,,,,,,,,,,,,
"Snowy","sc3d/ice_cube1.scw","ice_cube_1",90,"sc3d/crystal1_xmas.scw",,90,"sc3d/crate_xmas.scw","crate_xmas",0,"sc3d/barrel_xmas.scw","barrel_xmas",1,"sc3d/spruce_snowy.scw","spruce_snowy",1,"sc3d/grass4.scw","sc3d/grass4.scw","sc3d/candy_cane_small.scw",,1,"sc3d/present_pile_xmas.scw","present_pile_xmas",1,"sc3d/water_tile_snowy.scw","sc3d/wooden_fence.scw","sc3d/ice_cube1.scw","ice_cube_1","sc3d/park_bench_1.scw",,"sc3d/mine_gem_spawn_ice.scw",,,47,162,255,"snowy_spawn_hole"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTown","sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"sc3d/mine_gem_spawn_town.scw",,,148,90,115,"town_spawn_hole"
,,,,"sc3d/rock2.scw","Rock_2b",90,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
"Mine","sc3d/rock1.scw","Rock_1",90,"sc3d/crystal1.scw",,90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/mushroom_1.scw","mushroom_1",1,"sc3d/grass1.scw","sc3d/grass1.scw","sc3d/mushroom_1_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile_mine.scw","sc3d/wooden_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,,,96,68,84,"spawn_hole"
,"sc3d/rock1.scw","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warehouse","sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,,,148,90,115,"town_spawn_hole"
,,,,"sc3d/rock2.scw","Rock_2b",90,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
"Oasis","sc3d/rock2.scw","Rock_2",90,"sc3d/stone_ruin_1.scw","stone_ruin_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/plant_1_small.scw",,1,"sc3d/vase_1.scw","vase_1",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,,,234,180,119,"spawn_hole"
,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortuary","sc3d/rock_mortuary_1.scw",,90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/candles_1.scw","candles1",0,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/tombstone_large.scw",,"sc3d/mine_gem_spawn_mortuary.scw",,,74,52,82,"mortuary_spawn_hole"
,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,
