"CodeName","Group","Data"
"String","String","String"
"r0","roboleft","........"
"r1","****","........"
"r2",,"..D..D.."
"r3",,"......I."
"r4",,"......I."
"r5",,"..I...I."
"r6",,"..II..I."
"r7",,"..II...."
"r8","roboleft","........"
"r9","****","........"
"r10",,"........"
"r11",,"....D..."
"r12",,"........"
"r13",,"..I....."
"r14",,"..I..II."
"r15",,"..IIIII."
"r16","roboleft","........"
"r17","****","........"
"r18",,".....II."
"r19",,".....II."
"r20",,"........"
"r21",,"........"
"r22",,"..II...."
"r23",,"..IIII.."
"r24","roboleft","........"
"r25","****","........"
"r26",,"..II..I."
"r27",,"..I...I."
"r28",,"......I."
"r29",,"........"
"r30",,"..I....."
"r31",,"..II...."
"r32","roboleft","........"
"r33","****","....D..."
"r34",,"...III.."
"r35",,"........"
"r36",,"........"
"r37",,"..I...I."
"r38",,"..I..II."
"r39",,"..I..II."
"r40","roboleft","........"
"r41","****","........"
"r42",,"....II.."
"r43",,"....II.."
"r44",,"........"
"r45",,"........"
"r46",,".....II."
"r47",,".....II."
"r48","roboleft","........"
"r49","****","........"
"r50",,"....III."
"r51",,"........"
"r52",,"..D...D."
"r53",,"......I."
"r54",,"..I...I."
"r55",,"III...I."
"r56","roboleft","........"
"r57","****","........"
"r58",,"IIII...."
"r59",,"..II...."
"r60",,"........"
"r61",,"........"
"r62",,".....II."
"r63",,"....III."
"r64","roboleft","........"
"r65","****","........"
"r66",,"..II...."
"r67",,"..I....."
"r68",,"..I....."
"r69",,"III....."
"r70",,".....D.."
"r71",,"........"
"r72","roboright","........"
"r73","****","........"
"r74",,"III...D."
"r75",,".....I.."
"r76",,".....I.."
"r77",,".I...I.."
"r78",,".II..I.."
"r79",,"........"
"r80","roboright","........"
"r81","****","........"
"r82",,".II....."
"r83",,".II....."
"r84",,"II......"
"r85",,"........"
"r86",,"....II.."
"r87",,"....II.."
"r88","roboright","........"
"r89","****","........"
"r90",,"..IIII.."
"r91",,"....II.."
"r92",,"..D....."
"r93",,".....D.."
"r94",,".II....."
"r95",,"IIIIII.."
"r96","roboright","........"
"r97","****","........"
"r98",,".....I.."
"r99",,".I...I.."
"r100",,".I...I.."
"r101",,".I...I.."
"r102",,".I......"
"r103",,"II......"
"r104","roboright","........"
"r105","****","......D."
"r106",,"..III..."
"r107",,"........"
"r108",,"........"
"r109",,"II...I.."
"r110",,".I..II.."
"r111",,"....II.."
"r112","roboright","........"
"r113","****","........"
"r114",,".II....."
"r115",,".II....."
"r116",,"........"
"r117",,".D......"
"r118",,"....II.."
"r119",,"....II.."
"r120","roboright","........"
"r121","****","........"
"r122",,"III....."
"r123",,"........"
"r124",,".......D"
"r125",,".D...I.."
"r126",,"....II.."
"r127",,"....IIII"
"r128","roboright","........"
"r129","****","........"
"r130",,".II..III"
"r131",,".I...I.."
"r132",,".....I.."
"r133",,".....I.D"
"r134",,".I......"
"r135",,"III....."
"r136","roboright","........"
"r137","****",".....D.."
"r138",,"IIII...."
"r139",,"........"
"r140",,".D...III"
"r141",,".....I.."
"r142",,".II..I.."
"r143",,".II....."
"r144","roboleft","........"
"r145","****","........"
"r146",,"..IIIII."
"r147",,"..I...I."
"r148",,"..I..DI."
"r149",,"..I...I."
"r150",,"..I...I."
"r151",,"..II..I."
"r152","roboleft","........"
"r153","****","........"
"r154",,"........"
"r155",,"IIIIIII."
"r156",,"....D..."
"r157",,"........"
"r158",,"..I...I."
"r159",,"..IIIII."
"r160","roboright","........"
"r161","****","........"
"r162",,"....D..."
"r163",,"........"
"r164",,".IIIIIII"
"r165",,".I...I.."
"r166",,".I...I.."
"r167",,".I..II.."
"r168","roboright","........"
"r169","****","........"
"r170",,".IIIII.."
"r171",,".I......"
"r172",,".I......"
"r173",,"II...I.."
"r174",,".I...I.."
"r175",,"........"
"r176","spawnroboleft","........"
"r177","****","........"
"r178",,"..III..."
"r179",,"..I....."
"r180",,"..I....."
"r181",,"........"
"r182",,".......5"
"r183",,".....1.1"
"r184","spawnroboright","........"
"r185","****","........"
"r186",,".III...."
"r187",,"...I..II"
"r188",,"...I...."
"r189",,"........"
"r190",,"........"
"r191",,"1......."
"r192","spawnroboleft","........"
"r193","****","........"
"r194",,"...III.."
"r195",,"........"
"r196",,"........"
"r197",,"........"
"r198",,".......5"
"r199",,".....1.1"
"r200","spawnroboright","........"
"r201","****","........"
"r202",,"...I...."
"r203",,"...I...."
"r204",,"...I...."
"r205",,"...I...."
"r206",,"........"
"r207",,"1......."
