Name,Character,Model,CameraModel,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,EnterAnim,ProfileAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,HappyEffect,SadEffect,HeadRotationIngame,HatScaleIngame,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,UltiProjectile,MainAttackEffect,UltiAttackEffect,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,MeleeHitEffect,SpawnEffect,UltiLoopEffect,UltiLoopEffect2,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int,boolean,boolean,boolean,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BanditGirlDefault,ShotgunGirl,shelly_geo.scw,shelly_base_cam.scw,ShellyIdle,ShellyWalk,ShellyPrimary,ShellySecondary,ShellyRecoil,,ShellyRecoil,,ShellyReload,ShellyPushback,ShellyWin,ShellyWinloop,ShellyLose,ShellyLoseloop,ShellyIdle,ShellyWin,ShellyWinloop,ShellyWin,ShellyIdle,ShellyProfile,,,,ShellyFace,ShellyFace,ShellyHappy,ShellyFace,ShellySad,ShellySadLoop,ShellyFace,ShellyHappy,ShellyFace,ShellyHappy,ShellyStill,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerDefault,Gunslinger,colt_geo.scw,colt_base_cam.scw,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerWin,GunslingerWinloop,GunslingerLose,GunslingerLoseloop,GunslingerIdle,GunslingerWin,GunslingerWinloop,GunslingerWin,GunslingerIdle,GunslingerProfile,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerRockstar,Gunslinger,colt_rockstar_geo.scw,colt_base_cam.scw,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerWin,GunslingerWinloop,GunslingerLose,GunslingerLoseloop,GunslingerIdle,GunslingerWin,GunslingerWinloop,GunslingerWin,GunslingerIdle,GunslingerProfile,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyDefault,BullDude,bull_geo.scw,bull_base_cam.scw,BullRockIdle,BullRockWalk,BullRockPrimary,BullRockSecondary,BullRockRecoil,,BullRockRecoil,,BullRockReload,BullRockPushback,BullRockWin,BullRockWinloop,BullRockLose,BullRockLoseloop,BullRockIdle,BullRockWin,BullRockWinloop,BullRockWin,BullRockIdle,BullRockProfile,,,,BullStill,BullStill,BullWin,BullWinLoop,BullLose,BullLoseLoop,BullWinLoop,BullWin,BullWinLoop,BullWin,BullStill,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlDefault,RocketGirl,brock_geo.scw,brock_base_cam.scw,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockWin,BrockWinloop,BrockLose,BrockLoseloop,BrockIdle,BrockWin,BrockWinloop,BrockWin,BrockIdle,BrockProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlBeach,RocketGirl,brock_beach_geo.scw,brock_base_cam.scw,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockWin,BrockWinloop,BrockLose,BrockLoseloop,BrockIdle,BrockWin,BrockWinloop,BrockWin,BrockIdle,BrockProfile,,,,,,,,,,,,,,,,,,,,,,Brock004Projectile,Brock004UltiProjectile,beach_brock_def_atk,beach_brock_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntGuyDefault,TntDude,dynamike_geo.scw,dynamike_base_cam.scw,TntguyIdle,TntguyWalk,TntguyPrimary,TntguySecondary,TntguyRecoil,,TntguyUlti,,TntguyReload,TntguyPushback,TntguyWin,TntguyWinloop,TntguyLose,TntguyLoseloop,TntguyIdle,TntguyWin,TntguyWinloop,TntguyWin,TntguyIdle,TntguyProfile,,,,DynaStill,DynaStill,DynaWin,DynaWinLoop,DynaLose,DynaLoseLoop,DynaWinLoop,DynaWin,DynaWinLoop,DynaWin,DynaStill,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LuchadorDefault,Luchador,primo_geo.scw:torsoGeo+braceletGeo+legsGeo+beltGeo,primo_portrait.scw,LouchadorIdle,LouchadorWalk,LouchadorPrimary,LouchadorSecondary,LouchadorRecoil,LouchadorRecoil2,LouchadorRecoil,,,LouchadorPushback,LouchadorWin,LouchadorWinloop,LouchadorLose,LouchadorLoseloop,LouchadorIdle,LouchadorWin,LouchadorWinloop,LouchadorWin,LouchadorIdle,LouchadorProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurretDefault,MechanicTurret,turret_jessie_geo.scw,portrait_cam.scw,Turret,Turret,Turret,Turret,TurretAttack,,Turret,,Turret,TurretIdle,TurretSpawn,TurretIdle,,TurretIdle,Turret,TurretSpawn,TurretIdle,,TurretIdle,Turret,,,,,,,,,,,,,,,,,,,,,,Barley002Projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotDefault,TrickshotDude,rico_geo.scw,rico_base_cam.scw,RicoIdle,RicoWalk,RicoPrimary,RicoSecondary,RicoRecoil,,RicoRecoil,,RicoReload,RicoPushback,RicoWin,RicoWinloop,RicoLose,RicoLoseloop,RicoIdle,RicoWin,RicoWinloop,RicoWin,RicoIdle,RicoProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
