"TID","AR"
"string","string"
"TID_UNDERDOG","متواضع المستوى"
"TID_ACCESSORY","جهاز"
"TID_BATTLE_END_COIN_SHOWER","حدث سيل النقود"
"TID_LFG_POPUP_TITLE_MEMBER","البحث عن عضو"
"TID_LFG_POPUP_TITLE_TEAM","البحث عن فريق"
"TID_LFG_POPUP_INFO_MEMBER","البحث عن لاعبين لتكوين فريق معهم"
"TID_LFG_POPUP_INFO_TEAM","البحث عن لاعب ينضم إلى فريقك الحالي"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","معايير الحدث (اضغط للتغيير)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","أريد اللعب (اضغط للتغيير)"
"TID_LFG_POPUP_START_SEARCH","البدء"
"TID_LFG_NO_ROOM_FOR_PLAYERS","لا يدعم هذا الوضع عددًا أكبر من اللاعبين."
"TID_LOOKING_FOR_A_TEAM","يجري البحث عن فريق"
"TID_LOOKING_FOR_A_MEMBER","يجري البحث عن عضو"
"TID_BRAWLER_WIN_INFO","اربح باستخدام هذا البطل وستحصل على <cff8E1b>قرص نجوم</c> إضافي."
"TID_BRAWLER_WIN","اربح باستخدام <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","قريبًا!"
"TID_CC_TEASER_INFO","استعد لتحدي بطولة الانتصارات الـ <WIN>.\n\nالعب مع أصدقائك أو استخدم ميزة \qالبحث عن فريق\q لتحسين فرصك في الفوز.\n\nسيكون التحدي متاحًا لمدة <DURATION> س فقط، فاستغل وقتك جيدًا."
"TID_CC_POPUP_TITLE","تحدي البطولة"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","اربح مكافآت مميزة عن كل فوز. حقق <WINS> من الانتصارات للفوز في التحدي. يتم إقصاؤك بعد <LOSSES> من الخسائر."
"TID_CC_POPUP_1_DESC","اربح مكافآت مميزة عن كل فوز. حقق <WINS> من الانتصارات للفوز بالكأس. يتم إقصاؤك بعد <LOSSES> من الخسائر."
"TID_CC_POPUP_WINS","<MAX>/<WINS> من الانتصارات"
"TID_CC_POPUP_WINS_FOR_EVENT","المرحلة <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ربع النهائيات"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","نصف النهائيات"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","النهائيات"
