"TID","CNT"
"string","string"
"TID_UNDERDOG","逆風高飛"
"TID_ACCESSORY","武裝配件"
"TID_BATTLE_END_COIN_SHOWER","堆金如山活動"
"TID_LFG_POPUP_TITLE_MEMBER","尋找隊友"
"TID_LFG_POPUP_TITLE_TEAM","尋找小隊"
"TID_LFG_POPUP_INFO_MEMBER","尋找隊友與您並肩作戰"
"TID_LFG_POPUP_INFO_TEAM","招募其他玩家加入您的小隊"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","選擇活動（點擊更換）"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","選擇活動（點擊更換）"
"TID_LFG_POPUP_START_SEARCH","立即尋找"
"TID_LFG_NO_ROOM_FOR_PLAYERS","該模式無法支持更多玩家"
"TID_LOOKING_FOR_A_TEAM","正在尋找小隊"
"TID_LOOKING_FOR_A_MEMBER","正在尋找隊友"
"TID_BRAWLER_WIN_INFO","使用這名英雄獲勝可獲得額外的<cff8E1b>星徽代幣</c>"
"TID_BRAWLER_WIN","使用<NAME>獲勝"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","即將展開！"
"TID_CC_TEASER_INFO","做好準備，迎接荒野亂鬥全球錦標賽<WIN>勝挑戰吧！\n\n與好友組隊，或使用\q尋找小隊\q功能，增加你脫穎而出的機會。\n\n挑戰僅持續<DURATION>小時，快來加入對戰吧！"
"TID_CC_POPUP_TITLE","全球錦標賽挑戰"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","每次獲勝都能贏取超讚獎勵！獲勝<WINS>場即可完成挑戰。戰敗<LOSSES>場，挑戰結束！"
"TID_CC_POPUP_1_DESC","每次獲勝都能贏取超讚獎勵！獲勝<WINS>場即可完成挑戰。戰敗<LOSSES>場，挑戰結束！"
"TID_CC_POPUP_WINS","<WINS>/<MAX>次獲勝"
"TID_CC_POPUP_WINS_FOR_EVENT","第<LEVEL>階段"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","半準決賽"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","準決賽"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","決賽"
