"TID","FI"
"string","string"
"TID_UNDERDOG","ALTAVASTAAJA"
"TID_ACCESSORY","VARUSTE"
"TID_BATTLE_END_COIN_SHOWER","KOLIKKOKUURO-\nTAPAHTUMA"
"TID_LFG_POPUP_TITLE_MEMBER","ETSI JÄSENTÄ"
"TID_LFG_POPUP_TITLE_TEAM","ETSI JOUKKUETTA"
"TID_LFG_POPUP_INFO_MEMBER","Etsi pelaajia, jotka haluavat perustaa joukkueen kanssasi."
"TID_LFG_POPUP_INFO_TEAM","Etsi jäsentä nykyiseen joukkueeseesi."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Tapahtuman edellytykset (vaihda napauttamalla)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Haluan pelata (vaihda napauttamalla)"
"TID_LFG_POPUP_START_SEARCH","OK!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Tämä pelitila ei tue enempää pelaajia."
"TID_LOOKING_FOR_A_TEAM","ETSIN JOUKKUETTA"
"TID_LOOKING_FOR_A_MEMBER","ETSIMME JÄSENTÄ"
"TID_BRAWLER_WIN_INFO","Voita tällä rämäpäällä, niin saat ylimääräisen <cff8E1b>tähtipoletin</c>."
"TID_BRAWLER_WIN","Voita rämäpäällä <NAME>."
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Tulossa pian!"
"TID_CC_TEASER_INFO","Valmistaudu <WIN> voiton mestaruushaasteeseen!\n\nParanna mahdollisuuksiasi pelaamalla kavereidesi kanssa tai käyttämällä Etsin joukkuetta -toimintoa.\n\nHaaste on saatavilla vain <DURATION> tuntia, joten älä aikaile!"
"TID_CC_POPUP_TITLE","MESTARUUSHAASTE"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Ansaitse mahtavia palkintoja joka voitolla! Suoritat haasteen <WINS> voitolla, kun taas <LOSSES> häviöllä putoat pelistä."
"TID_CC_POPUP_1_DESC","Ansaitse mahtavia palkintoja joka voitolla! Suoritat Cupin <WINS> voitolla, kun taas <LOSSES> häviöllä putoat pelistä."
"TID_CC_POPUP_WINS","VOITOT: <WINS>/<MAX>"
