"TID","FR"
"string","string"
"TID_UNDERDOG","OUTSIDER"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","ÉVÉNEMENT PLUIE DE PIÈCES"
"TID_LFG_POPUP_TITLE_MEMBER","CHERCHER UN MEMBRE"
"TID_LFG_POPUP_TITLE_TEAM","CHERCHER UNE ÉQUIPE"
"TID_LFG_POPUP_INFO_MEMBER","Rechercher des joueurs pour faire équipe avec vous."
"TID_LFG_POPUP_INFO_TEAM","Rechercher des joueurs pour rejoindre votre équipe."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Critères de l'événement (appuyez pour modifier)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Disponible pour jouer (appuyez pour modifier)"
"TID_LFG_POPUP_START_SEARCH","C'EST PARTI !"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Trop de joueurs pour ce mode"
"TID_LOOKING_FOR_A_TEAM","EN RECHERCHE D'ÉQUIPE"
"TID_LOOKING_FOR_A_MEMBER","EN RECHERCHE DE MEMBRE"
"TID_BRAWLER_WIN_INFO","Gagnez avec ce brawler pour obtenir des <cff8E1b>jetons star</c> supplémentaires."
"TID_BRAWLER_WIN","Gagnez avec <NAME>."
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","C'est pour bientôt !"
"TID_CC_TEASER_INFO","Préparez-vous pour le défi du championnat en <WIN> victoires !\n\nJouez avec des amis ou utilisez la \qrecherche d'équipe\q pour mettre toutes les chances de votre côté.\n\nLe défi ne dure que <DURATION> heures, alors ne le laissez pas passer !"
"TID_CC_POPUP_TITLE","DÉFI DU CHAMPIONNAT"
"TID_CC_POPUP_1_TITLE","COUPE PSG"
"TID_CC_POPUP_DESC","Gagnez des récompenses à chaque victoire. Réussissez le défi avec <WINS> victoires, mais attention : <LOSSES> défaites et c'est l'élimination !"
"TID_CC_POPUP_1_DESC","Gagnez des récompenses à chaque victoire. Réussissez la coupe avec <WINS> victoires, mais attention : <LOSSES> défaites et c'est l'élimination !"
"TID_CC_POPUP_WINS","<WINS>/<MAX> VICTOIRES"
"TID_CC_POPUP_WINS_FOR_EVENT","ÉTAPE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","QUARTS DE FINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","DEMI-FINALES"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALE"
"TID_CC_POPUP_QUALIFY_INFO","Réussissez le défi afin de vous qualifier pour l'étape suivante du championnat Brawl Stars."
"TID_CC_POPUP_QUALIFY_INFO_PSG","Réussissez le défi pour gagner le skin Shelly PSG !"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Défi réussi !"
"TID_CC_POPUP_CHALLENGE_OVER","DÉFI TERMINÉ"
"TID_CC_POPUP_OUT_OF_LIVES","PLUS D'ESSAIS"
