"TID","HE"
"string","string"
"TID_UNDERDOG","אנדרדוג"
"TID_ACCESSORY","גאדג‘ט"
"TID_BATTLE_END_COIN_SHOWER","אירוע גשם של מטבעות"
"TID_LFG_POPUP_TITLE_MEMBER","חיפוש חבר בקבוצה"
"TID_LFG_POPUP_TITLE_TEAM","חיפוש קבוצה"
"TID_LFG_POPUP_INFO_MEMBER","חיפוש שחקנים שייצרו איתך קבוצה"
"TID_LFG_POPUP_INFO_TEAM","חיפוש שחקן שיצטרף לקבוצה הנוכחית שלך"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","קריטריוני האירוע (הקש כדי לשנות)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","אני רוצה לשחק (הקש כדי לשנות)"
"TID_LFG_POPUP_START_SEARCH","קדימה!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","מצב המשחק הזה לא תומך בעוד שחקנים"
"TID_LOOKING_FOR_A_TEAM","מחפש קבוצה"
"TID_LOOKING_FOR_A_MEMBER","מחפש חבר בקבוצה"
"TID_BRAWLER_WIN_INFO","אם תנצח עם הבראולר הזה תרוויח <cff8E1b>טוקנים של כוכבים</c> נוספים"
"TID_BRAWLER_WIN","נסה לנצח עם <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","בקרוב!"
"TID_CC_TEASER_INFO","כדאי להתכונן לאתגר אליפות של <WIN> ניצחונות!\n\nאפשר לשחק עם חברים או להשתמש בתכונה \qחיפוש קבוצה\q כדי להגדיל את הסיכויים שלך.\n\nהאתגר יהיה פעיל רק למשך <DURATION> שעות, אז לא כדאי לפספס!"
"TID_CC_POPUP_TITLE","אתגר האליפות"
"TID_CC_POPUP_1_TITLE","גביע PSG"
"TID_CC_POPUP_DESC","אפשר לזכות בפרסים מדהימים עם כל ניצחון! דרושים <WINS> ניצחונות כדי לזכות באתגר, אבל אם הפסדת <LOSSES> פעמים - אין לך יותר ניסיונות!"
"TID_CC_POPUP_1_DESC","אפשר לזכות בפרסים מדהימים עם כל ניצחון! דרושים <WINS> ניצחונות כדי לזכות בגביע, אבל אם הפסדת <LOSSES> פעמים - אין לך יותר ניסיונות!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> ניצחונות"
"TID_CC_POPUP_WINS_FOR_EVENT","שלב <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","רבע הגמר"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","חצי הגמר"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","הגמר"
"TID_CC_POPUP_QUALIFY_INFO","נסה לזכות באתגר ולעלות לשלב הבא באליפות Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","כדאי לנצח באתגר כדי לזכות בסקין שלי PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","האתגר הושלם!"
