"TID","JP"
"string","string"
"TID_UNDERDOG","負け犬"
"TID_ACCESSORY","ガジェット"
"TID_BATTLE_END_COIN_SHOWER","コインの雨イベント"
"TID_LFG_POPUP_TITLE_MEMBER","メンバーを探す"
"TID_LFG_POPUP_TITLE_TEAM","チームを探す"
"TID_LFG_POPUP_INFO_MEMBER","一緒にチームを組むプレイヤーを探します"
"TID_LFG_POPUP_INFO_TEAM","あなたのチームに参加するプレイヤーを探します"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","イベント基準（タップで変更）"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","参加を希望する（タップで変更）"
"TID_LFG_POPUP_START_SEARCH","実行"
"TID_LFG_NO_ROOM_FOR_PLAYERS","このゲームモードには、これ以上プレイヤーを追加できません"
"TID_LOOKING_FOR_A_TEAM","チームを検索中"
"TID_LOOKING_FOR_A_MEMBER","メンバーを検索中"
"TID_BRAWLER_WIN_INFO","このキャラクターを使って勝利すると追加の<cff8E1b>スタートークン</c>を獲得します"
"TID_BRAWLER_WIN","<NAME>で勝利する"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","近日公開！"
"TID_CC_TEASER_INFO","<WIN>勝チャンピオンシップチャレンジが始まります！\n\nフレンドとプレイするも良し、「チームを検索」機能を使って更なるチャンスを狙うも良し。\n\nチャレンジをプレイできるのは<DURATION>時間だけです。どうぞお見逃しなく！"
"TID_CC_POPUP_TITLE","チャンピオンシップチャレンジ"
"TID_CC_POPUP_1_TITLE","PSGカップ"
"TID_CC_POPUP_DESC","勝利するたびに豪華報酬を獲得できます！チャレンジは<WINS>勝でクリアできますが、<LOSSES>敗すると失格となります！"
"TID_CC_POPUP_1_DESC","勝利するたびに豪華報酬を獲得できます！このカップは<WINS>勝でクリアできますが、<LOSSES>敗すると失格となります！"
"TID_CC_POPUP_WINS","<WINS>/<MAX>勝"
"TID_CC_POPUP_WINS_FOR_EVENT","ステージ<LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","準々決勝"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","準決勝"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","決勝"
"TID_CC_POPUP_QUALIFY_INFO","チャレンジをクリアして、ブロスタ チャンピオンシップの次なるステージに向けて予選を突破しよう！"
"TID_CC_POPUP_QUALIFY_INFO_PSG","チャレンジをクリアして、PSGシェリースキンを獲得しましょう！"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","チャレンジクリア！"
