"TID","KR"
"string","string"
"TID_UNDERDOG","언더독"
"TID_ACCESSORY","가젯"
"TID_BATTLE_END_COIN_SHOWER","코인 샤워 이벤트"
"TID_LFG_POPUP_TITLE_MEMBER","멤버 찾기"
"TID_LFG_POPUP_TITLE_TEAM","팀 찾기"
"TID_LFG_POPUP_INFO_MEMBER","나와 팀이 될 플레이어 찾기"
"TID_LFG_POPUP_INFO_TEAM","현재 팀에 참여할 플레이어 찾기"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","이벤트 기준 (탭하여 변경)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","플레이하고 싶어요 (탭하여 변경)"
"TID_LFG_POPUP_START_SEARCH","찾기!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","더는 플레이어를 수용할 수 없습니다"
"TID_LOOKING_FOR_A_TEAM","팀을 찾고 있습니다"
"TID_LOOKING_FOR_A_MEMBER","멤버를 찾고 있습니다"
"TID_BRAWLER_WIN_INFO","해당 브롤러로 승리하면 추가 <cff8E1b>스타 토큰 </c> 획득"
"TID_BRAWLER_WIN","<NAME> 브롤러로 승리"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","곧 공개!"
"TID_CC_TEASER_INFO","<WIN>승 챔피언십 챌린지를 준비하세요!\n\n친구와 함께 플레이하거나 \q팀 찾기\q 기능을 사용해 승리할 확률을 올리세요.\n\n챌린지는 <DURATION>시간 동안만 진행되니, 모든 전투에서 최선을 다하세요!"
"TID_CC_POPUP_TITLE","챔피언십 챌린지"
"TID_CC_POPUP_1_TITLE","PSG 컵"
"TID_CC_POPUP_DESC","승리할 때마다 멋진 보상을 획득하세요! <WINS>번 승리해야 c챌린지를 완료할 수 있으며, <LOSSES>번 패배하면 탈락입니다!"
"TID_CC_POPUP_1_DESC","승리할 때마다 멋진 보상을 획득하세요! <WINS>번 승리해야 우승할 수 있으며, <LOSSES>번 패배하면 탈락입니다!"
"TID_CC_POPUP_WINS","승리: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","스테이지 <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","8강"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","준결승"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","결승"
"TID_CC_POPUP_QUALIFY_INFO","챌린지를 완료하고 브롤스타즈 챔피언십의 다음 스테이지 진출 자격을 획득하세요!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","우승으로 PSG 쉘리 스킨을 획득하세요!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","챌린지를 완료했습니다!"
"TID_CC_POPUP_CHALLENGE_OVER","챌린지 종료"
"TID_CC_POPUP_OUT_OF_LIVES","도전 횟수 제한 도달"
"TID_CC_POPUP_COMPLETED","챌린지 완료"
"TID_CC_POPUP_LEVEL","스테이지 <LEVEL>"
"TID_CC_POPUP_WIN","승리"
"TID_CC_POPUP_LOSSES","패배"
"TID_QUALIFIED_TITLE","온라인 예선전 잠금 해제!"
"TID_QUALIFIED_INFO","챔피언십 챌린지를 완료하셨습니다!\n\n<cFFE400><URL></c>에서 브롤스타즈 챔피언을 향한 여정을 계속하세요."
"TID_QUALIFIED_INFO_PSG","PSG 컵 우승을 축하합니다! PSG 쉘리 스킨을 획득했습니다!"
"TID_QUALIFIED_GO","이동!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","챔피언십 챌린지"
"TID_BATTLE_END_CC_WIN_LABEL","승리 보상 #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","챌린지 종료\n다음엔 더 잘할 수 있겠죠!"
"TID_BATTLE_END_CC_DEFEAT_1","한 번 더 패배하면 탈락입니다. 힘내세요!"
"TID_BATTLE_END_CC_DEFEAT_2","이번에는 졌지만 아직 끝나지 않았어요!"
"TID_BATTLE_END_CC_DRAW_DESC","다시 플레이해 승리하세요!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","진출 자격 획득!"
"TID_BATTLE_END_CC_QUALIFY_INFO","브롤스타즈 챔피언십의 다음 스테이지에 진출!\n수신함에서 더 자세한 정보를 확인해보세요."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","파워 플레이 시즌 종료 보상"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","최종 포인트에\n따른 보상"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","순위"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","포인트"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","글로벌 순위표\n상위권 추가 보상"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","시즌 종료 보상"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","순위표"
"TID_PRO_LEAGUE_SEASON_END_TIME","남은 시즌 기간:"
"TID_PRO_LEAGUE_POPUP_TITLE","파워 플레이"
"TID_EVENT_LABEL_PRO_LEAGUE","파워 플레이"
"TID_PRO_LEAGUE_POPUP_INFO","파워 플레이에서 자신의 실력을 시험하세요! 3번의 일일 매치에서 경쟁해 시즌 순위표 상위권에 이름을 올리세요. 시즌 종료 후 획득한 포인트와 글로벌 순위표의 순위에 따라 스타 포인트를 받을 수 있습니다."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","현재 시즌"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","이전 시즌"
"TID_PRO_LEAGUE_LABEL","파워 플레이"
"TID_TEAM_ERROR_38","파워 레벨 10 브롤러를 선택하세요!"
"TID_TEAM_ERROR_39","파워 플레이 일일 참가 한도를 초과했습니다."
"TID_PRO_LEAGUE_GAMES","남은 게임: <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","파워 플레이 시즌 종료"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","내 포인트"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","내 순위"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","스타 포인트 보상"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","파워 플레이 시즌 종료: <cff00ff>스타 포인트</c> <AMOUNT>점 획득!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","월등한 승리 (+3 포인트):"
"TID_OVERWHELMING_VICTORY_GMV_0","15번째 보석이 나타나기 전에 승리"
"TID_OVERWHELMING_VICTORY_GMV_5","2:0 승리"
"TID_OVERWHELMING_VICTORY_GMV_2","내 금고에 HP가 60% 이상 남은 상태로 승리"
"TID_OVERWHELMING_VICTORY_GMV_11","내 기지에 HP가 80% 이상 남은 상태로 승리"
"TID_OVERWHELMING_VICTORY_GMV_3","상대보다 최소 10개 이상의 별을 획득해 승리"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","매치 순위에 따라 포인트 획득"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","승리: 30 포인트, 무승부: 15 포인트, 패배: 5 포인트"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","포인트"
"TID_DOUBLE_TOKEN_WEEKEND","토큰 두 배 이벤트"
"TID_COIN_SHOWER_EVENT","코인 샤워 이벤트"
"TID_RANKS_ADDED_TITLE","신규 브롤러 랭크"
"TID_RANKS_ADDED_DESC","모든 브롤러에 21~35 랭크가 추가되었습니다.\n\n새 랭크를 달성한 브롤러 보상으로 <cff00ff><STARPOINTS></c> 스타 포인트와 토큰 <TOKENS>개를 받았습니다."
"TID_SKINS_TITLE","스킨"
"TID_SKINS_BUTTON_LABEL","스킨"
"TID_SKIN_PREVIEW","스킨 미리보기"
"TID_DEFAULT_SKIN","<HERO> 기본 스킨"
"TID_HERO_LVL_UP_MATERIAL","코인"
"TID_TOKENS","토큰"
"TID_FIRST_WINS","스타 토큰"
"TID_BUTTON_INBOX","수신함"
"TID_INBOX_TITLE","수신함"
"TID_INBOX_SYSTEM_SENDER","시스템"
"TID_INBOX_SUPPORT_SENDER","고객 지원"
"TID_INBOX_BRAWLSTARS_SENDER","브롤스타즈"
"TID_INBOX_AGE","<TIME> 전"
"TID_INBOX_CLAIM","받기"
"TID_INBOX_VIEW","보기"
"TID_INBOX_TAB_0","클럽 메일"
"TID_INBOX_TAB_1","개인 메일"
"TID_INBOX_NO_ENTRIES","메일이 없습니다."
"TID_INBOX_CAPTION_99","시즌이 종료되었습니다."
"TID_INBOX_CAPTION_94","스킨 지원: <NAME>"
"TID_INBOX_CAPTION_93","브롤러 지원: <NAME>"
"TID_INBOX_CAPTION_92","<NAME> PP x <AMOUNT> 지원"
"TID_INBOX_CAPTION_91","티켓 x <AMOUNT> 지원"
"TID_INBOX_CAPTION_90","<NAME> x <AMOUNT> 지원"
"TID_INBOX_CAPTION_89","보석 x <AMOUNT> 지원"
"TID_INBOX_CAPTION_88","토큰 더블러 x <AMOUNT> 지원"
"TID_INBOX_CAPTION_85","보석 x <AMOUNT> 회수"
"TID_INBOX_CAPTION_84_4","<NAME>의 스타 파워(<ABI>) 지원"
"TID_INBOX_CAPTION_84_5","<NAME>의 가젯(<ABI>) 지원"
"TID_INBOX_CAPTION_78","브롤러 랭크 21~30 추가!"
"TID_INBOX_CAPTION_76","온라인 예선전 잠금 해제!"
"TID_INBOX_CAPTION_75","<CHALLENGE> 승리 보상:\n<NAME>"
"TID_INBOX_NEW","신규!"
"TID_BAND_MAIL_POPUP_TITLE","클럽 메일"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","이곳에 메시지를 입력하세요."
"TID_BAND_MAIL_POPUP_POST","보내기"
"TID_BAND_MAIL_POPUP_NO_MSG","메시지를 입력하세요!"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","해당 기능은 데모 계정에서 이용이 불가능합니다."
"TID_REVOKE_TITLE","지원팀에서 보낸 메시지"
"TID_REVOKE_OK","확인"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","참가 요청 실패: 이미 다른 팀에 참가했습니다."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","참가 요청 실패: 보류 중인 팀 초대 요청이 있습니다."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","참가 요청 실패: 보류 중인 팀 참가 요청이 있습니다."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","팀 참가 요청 취소"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","팀에 참가하고 싶어요!"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>승리</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>패배</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>무승부</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>위</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>위</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>위</c>"
"TID_BATTLE_LOG_AGE","<TIME> 전"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","Lv"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","전투 기록"
"TID_BATTLE_LOG_REPLAY","리플레이"
"TID_BATTLE_LOG_SURVIVED_FOR","생존 시간: <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","빅 브롤러 처치 시간: <TIME>"
"TID_BATTLE_LOG_MVP","스타 플레이어"
"TID_BATTLE_LOG_FRIENDLY","친선전"
"TID_BATTLE_LOG_TOURNAMENT","토너먼트"
"TID_BATTLE_LOG_PVP","경쟁전"
"TID_BATTLE_LOG_PRO_LEAGUE","파워 플레이"
"TID_BATTLE_LOG_NO_ENTRIES","전투 기록이 없습니다."
"TID_BATTLE_LOG_THIS_IS_A_BOT","AI 브롤러입니다."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","리플레이 불가"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","리플레이 없음"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","리플레이 없음 (브롤러 트로피가 너무 낮음)"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","브롤러 트로피 <NUM>개에 도달해 리플레이를 잠금 해제하세요!"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","리플레이 없음 (기록 실패)"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","리플레이 만료"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","친구를 추가하지 못했습니다!"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","친구 링크가 만료되었습니다!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","친구를 추가할 수 없습니다. 해당 친구의 친구 목록이 가득 찼습니다!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","친구를 추가할 수 없습니다. 내 친구 목록이 가득 찼습니다!"
"TID_ADD_FRIEND_FAILED_BANNED","친구를 추가할 수 없습니다. 사용자가 차단되었습니다!"
"TID_KEYPOOL_KEYS_REMAINING","남은 토큰: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<TIME> 후 토큰 +<KEYS>개"
"TID_TOP_HUD_NEXT_REWARD","다음 보상"
"TID_RANK_UP_REWARD_REPLACED_TITLE","대체 보상 확인"
"TID_RANK_UP_REWARD_REPLACED_POWER","<AMOUNT> PP를 받을 수 있는 브롤러가 없습니다.\n\n대체 보상이 지급됩니다."
"TID_RANK_UP_REWARD_REPLACED_HERO","이미 <NAME> 브롤러를 보유하여 대체 보상이 지급됩니다."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","친구 요청 전송"
"TID_PLAYER_INFO_REMOVE_FRIEND","친구 목록에서 삭제"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","친구 요청 전송 완료"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","게임 친구"
"TID_POWER_POINTS","PP"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_LEVEL_LONG","파워 레벨"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","다음 파워 레벨: <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","확인하려면 다시 탭하세요!"
"TID_HERO_INFO_MAX_LEVEL","최대 파워 레벨"
"TID_HERO_INFO_MORE_POWER_NEEDED","더 많은 PP를 모아 업그레이드하세요!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","PP가 부족합니다!"
