"TID","MS"
"string","string"
"TID_UNDERDOG","BUKAN PILIHAN"
"TID_ACCESSORY","ALAT"
"TID_BATTLE_END_COIN_SHOWER","ACARA HUJAN SYILING"
"TID_LFG_POPUP_TITLE_MEMBER","MENCARI AHLI"
"TID_LFG_POPUP_TITLE_TEAM","MENCARI PASUKAN"
"TID_LFG_POPUP_INFO_MEMBER","Cari pemain untuk membentuk pasukan"
"TID_LFG_POPUP_INFO_TEAM","Cari pemain untuk sertai pasukan semasa anda"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Kriteria acara (ketik untuk tukar)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Saya nak main (ketik untuk tukar)"
"TID_LFG_POPUP_START_SEARCH","CARI!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Mod permainan ini tidak menyokong pemain tambahan"
"TID_LOOKING_FOR_A_TEAM","SEDANG MENCARI PASUKAN"
"TID_LOOKING_FOR_A_MEMBER","SEDANG MENCARI AHLI"
"TID_BRAWLER_WIN_INFO","Menangi dengan Brawler ini dan anda akan dapat <cff8E1b>Token Bintang</c> tambahan"
"TID_BRAWLER_WIN","Menangi dengan <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Akan Datang!"
"TID_CC_TEASER_INFO","Bersedia untuk Cabaran Kejuaraan <WIN> kemenangan!\n\nMain bersama rakan atau guna ciri \qMencari Pasukan\q untuk meningkatkan peluang menang anda.\n\nCabaran hanya berlangsung selama <DURATION> jam, jadi fikir baik-baik!"
"TID_CC_POPUP_TITLE","CABARAN KEJUARAAN"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi Cabaran tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_1_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi pertandingan tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> KEMENANGAN"
"TID_CC_POPUP_WINS_FOR_EVENT","PERINGKAT <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","SUKU AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEPARUH AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","PUSINGAN AKHIR"
"TID_CC_POPUP_QUALIFY_INFO","Memenangi cabaran untuk melayakkan diri ke peringkat Kejuaraan Brawl Stars seterusnya!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Menang cabaran untuk memenangi kulit Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Cabaran selesai!"
"TID_CC_POPUP_CHALLENGE_OVER","CABARAN TAMAT"
"TID_CC_POPUP_OUT_OF_LIVES","TIADA BAKI PERCUBAAN"
"TID_CC_POPUP_COMPLETED","CABARAN SELESAI"
"TID_CC_POPUP_LEVEL","PERINGKAT <LEVEL>"
"TID_CC_POPUP_WIN","KEMENANGAN"
"TID_CC_POPUP_LOSSES","KEKALAHAN"
