"TID","PL"
"string","string"
"TID_UNDERDOG","NĘDZNIK"
"TID_ACCESSORY","GADŻET"
"TID_BATTLE_END_COIN_SHOWER","WYDARZENIE: DESZCZ MONET"
"TID_LFG_POPUP_TITLE_MEMBER","ZNAJDŹ CZŁONKA"
"TID_LFG_POPUP_TITLE_TEAM","ZNAJDŹ DRUŻYNĘ"
"TID_LFG_POPUP_INFO_MEMBER","Znajdź graczy, z którymi stworzysz drużynę"
"TID_LFG_POPUP_INFO_TEAM","Znajdź gracza, którego dołączysz do obecnej drużyny"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Kryteria wydarzenia (stuknij, by zmienić)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Chcę zagrać (stuknij, by zmienić)"
"TID_LFG_POPUP_START_SEARCH","RUSZAJ!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Ten tryb gry nie obsługuje większej liczby graczy"
"TID_LOOKING_FOR_A_TEAM","SZUKANIE DRUŻYNY"
"TID_LOOKING_FOR_A_MEMBER","SZUKANIE CZŁONKA"
"TID_BRAWLER_WIN_INFO","Wygraj z tym Zadymiarzem, a otrzymasz dodatkowy <cff8E1b>gwiezdny żeton</c>"
"TID_BRAWLER_WIN","Wygraj z: <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Już wkrótce!"
"TID_CC_TEASER_INFO","Przygotuj się na <WIN>-rundowe Wyzwanie Mistrzowskie!\n\nZagraj ze znajomymi albo użyj funkcji \qSzukanie drużyny\q, by zwiększyć swoje szanse.\n\nWyzwanie trwa tylko <DURATION> godz., więc nie trać czasu!"
"TID_CC_POPUP_TITLE","WYZWANIE MISTRZOWSKIE"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Zdobywaj wspaniałe nagrody za każdą wygraną! <WINS> - tyle wygranych wystarczy, by zaliczyć wyzwanie, ale po <LOSSES> porażkach wypadasz z gry!"
"TID_CC_POPUP_1_DESC","Zdobywaj wspaniałe nagrody za każdą wygraną! <WINS> - tyle wygranych wystarczy, by zdobyć puchar, ale po <LOSSES> porażkach wypadasz z gry!"
"TID_CC_POPUP_WINS","ZWYCIĘSTWA: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","ETAP <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ĆWIERĆFINAŁ"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","PÓŁFINAŁ"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINAŁ"
"TID_CC_POPUP_QUALIFY_INFO","Zalicz wyzwanie, aby przejść do następnego etapu w Mistrzostwach Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Przejdź wyzwanie, aby zdobyć przebranie PSG Shelly!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Ukończono wyzwanie!"
"TID_CC_POPUP_CHALLENGE_OVER","WYZWANIE ZAKOŃCZONE"
"TID_CC_POPUP_OUT_OF_LIVES","WYCZERPANO LIMIT PRÓB"
"TID_CC_POPUP_COMPLETED","UKOŃCZONO WYZWANIE"
"TID_CC_POPUP_LEVEL","ETAP <LEVEL>"
"TID_CC_POPUP_WIN","WYGRANE"
"TID_CC_POPUP_LOSSES","PORAŻKI"
"TID_QUALIFIED_TITLE","ODBLOKOWANO kwalifikacje online!"
"TID_QUALIFIED_INFO","Gratulacje, zaliczasz wyzwanie mistrzowskie! WSPANIALE!\n\nAby kontynuować drogę i wejść do MISTRZOSTW BRAWL STARS, przejdź tutaj: <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Gratulacje, wygrywasz PSG CUP! Tym samym odblokowano przebranie PSG Shelly!"
