"TID","EN"
"string","string"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","COIN SHOWER EVENT"
"TID_LFG_POPUP_TITLE_MEMBER","LOOK FOR A MEMBER"
"TID_LFG_POPUP_TITLE_TEAM","LOOK FOR A TEAM"
"TID_LFG_POPUP_INFO_MEMBER","Look for players to team up with you"
"TID_LFG_POPUP_INFO_TEAM","Look for a player to join your current team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Event criteria (tap to change)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","I want to play (tap to change)"
"TID_LFG_POPUP_START_SEARCH","GO!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","This gamemode does not support any more players"
"TID_LOOKING_FOR_A_TEAM","LOOKING FOR A TEAM"
"TID_LOOKING_FOR_A_MEMBER","LOOKING FOR A MEMBER"
"TID_BRAWLER_WIN_INFO","Win with this Brawler and you will gain extra <cff8E1b>Star Token</c>"
"TID_BRAWLER_WIN","Win with <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Coming Soon!"
"TID_CC_TEASER_INFO","Get ready for the <WIN>-win Championship Challenge!\n\nPlay with friends or use the \qLooking for Team\q feature to increase your chances.\n\nThe challenge will only be live for <DURATION> hours, so make it count!"
"TID_CC_POPUP_TITLE","CHAMPIONSHIP CHALLENGE"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Earn awesome rewards with every win! It takes <WINS> wins to beat the Challenge, but <LOSSES> losses and you're out!"
"TID_CC_POPUP_1_DESC","Earn awesome rewards with every win! It takes <WINS> wins to beat the Cup, but <LOSSES> losses and you're out!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> WINS"
"TID_CC_POPUP_WINS_FOR_EVENT","STAGE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","QUARTERFINALS"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINALS"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALS"
"TID_CC_POPUP_QUALIFY_INFO","Beat the challenge to qualify for the next stage in the Brawl Stars Championship!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Beat the challenge to win the PSG Shelly Skin!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Challenge completed!"
"TID_CC_POPUP_CHALLENGE_OVER","CHALLENGE OVER"
"TID_CC_POPUP_OUT_OF_LIVES","NO MORE ATTEMPTS"
"TID_CC_POPUP_COMPLETED","CHALLENGE COMPLETED"
"TID_CC_POPUP_LEVEL","STAGE <LEVEL>"
"TID_CC_POPUP_WIN","WIN"
"TID_CC_POPUP_LOSSES","LOSSES"
"TID_QUALIFIED_TITLE","Online qualifier UNLOCKED!"
"TID_QUALIFIED_INFO","Wow, you beat the Championship Challenge! AMAZING!\n\nTo continue your journey toward the BRAWL STARS CHAMPIONSHIP, go to <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Congrats, you won the PSG CUP! You have unlocked the PSG Shelly Skin!"
"TID_QUALIFIED_GO","GO!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","CHAMPIONSHIP CHALLENGE"
"TID_BATTLE_END_CC_WIN_LABEL","REWARD FOR WIN #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Challenge over\nBetter luck next time!"
"TID_BATTLE_END_CC_DEFEAT_1","One more loss and you're out. Keep fighting!"
"TID_BATTLE_END_CC_DEFEAT_2","You lost this one but you can still continue!"
"TID_BATTLE_END_CC_DRAW_DESC","Play again to win!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","QUALIFIED!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Congratulations! You are eligible for the next stage in the Brawl Stars Championship.\nCheck out your inbox for more info."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","POWER PLAY Season End Rewards"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Reward based on\nyour final Points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Ranking"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Additional reward for reaching\nthe top of the global leaderboard"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Season End Rewards"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Leaderboards"
"TID_PRO_LEAGUE_SEASON_END_TIME","SEASON ENDS IN"
"TID_PRO_LEAGUE_POPUP_TITLE","POWER PLAY"
"TID_EVENT_LABEL_PRO_LEAGUE","POWER PLAY"
"TID_PRO_LEAGUE_POPUP_INFO","Put your skills to the test in POWER PLAY! Compete in three daily matches to climb the seasonal leaderboard. When the season ends, you will get Star Points based on your Points and Ranking on the global leaderboard."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","CURRENT SEASON"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","PREVIOUS SEASON"
"TID_PRO_LEAGUE_LABEL","POWER PLAY"
"TID_TEAM_ERROR_38","Pick a Power level 10 Brawler!"
"TID_TEAM_ERROR_39","No more POWER PLAY games left today!"
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> GAMES LEFT"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","POWER PLAY SEASON ENDED"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Your Points"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Your Ranking"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Star Point Reward"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","POWER PLAY season end: <AMOUNT> <cff00ff>Star Points</c> gained!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Epic Win (+3 Points):"
"TID_OVERWHELMING_VICTORY_GMV_0","Win before 15th gem has spawned"
"TID_OVERWHELMING_VICTORY_GMV_5","Win 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Win with at least 60% health left on your safe"
"TID_OVERWHELMING_VICTORY_GMV_11","Win with at least 80% health left on your base"
"TID_OVERWHELMING_VICTORY_GMV_3","Win with at least 10 more stars than the enemy"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Earn Points based on your ranking in the match"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Earn 30 Points from a victory, 15 from a draw and a consolation prize of 5 from a defeat"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","POINTS"
"TID_DOUBLE_TOKEN_WEEKEND","DOUBLE TOKEN EVENT"
"TID_COIN_SHOWER_EVENT","COIN SHOWER EVENT"
"TID_RANKS_ADDED_TITLE","New Brawler Ranks"
"TID_RANKS_ADDED_DESC","Brawlers can now rank up to 35, up from the previous top rank of 20.\n\nYou received <cff00ff><STARPOINTS></c> Star Points and <TOKENS> Tokens from your Brawlers that ranked up!"
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKIN PREVIEW"
"TID_DEFAULT_SKIN","DEFAULT SKIN OF <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Coins"
"TID_TOKENS","Tokens"
"TID_FIRST_WINS","Star Tokens"
"TID_BUTTON_INBOX","INBOX"
"TID_INBOX_TITLE","INBOX"
"TID_INBOX_SYSTEM_SENDER","System"
"TID_INBOX_SUPPORT_SENDER","Support"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> ago"
"TID_INBOX_CLAIM","CLAIM"
"TID_INBOX_VIEW","VIEW"
"TID_INBOX_TAB_0","CLUB MAIL"
"TID_INBOX_TAB_1","PERSONAL"
"TID_INBOX_NO_ENTRIES","NO ENTRIES"
"TID_INBOX_CAPTION_99","Season has ended"
"TID_INBOX_CAPTION_94","Skin donation: <NAME>"
"TID_INBOX_CAPTION_93","Brawler donation: <NAME>"
"TID_INBOX_CAPTION_92","Donation of <AMOUNT> Power Points for <NAME>"
"TID_INBOX_CAPTION_91","Donation of <AMOUNT> tickets"
"TID_INBOX_CAPTION_90","Donation of <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donation of <AMOUNT> Gems"
"TID_INBOX_CAPTION_88","Donation of <AMOUNT> of Token Doublers"
"TID_INBOX_CAPTION_85","Revoke of <AMOUNT> Gems"
"TID_INBOX_CAPTION_84_4","Donation of Star Power <ABI> for <NAME>"
"TID_INBOX_CAPTION_84_5","Donation of Gadget <ABI> for <NAME>"
"TID_INBOX_CAPTION_78","Brawler Ranks 21-30 are here!"
"TID_INBOX_CAPTION_76","Online qualifier UNLOCKED!"
"TID_INBOX_CAPTION_75","<CHALLENGE> victory reward:\n<NAME>"
"TID_INBOX_NEW","NEW!"
"TID_BAND_MAIL_POPUP_TITLE","CLUB MAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","write your message here..."
"TID_BAND_MAIL_POPUP_POST","POST"
"TID_BAND_MAIL_POPUP_NO_MSG","Remember to input a message"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","This feature is not available for demo accounts"
"TID_REVOKE_TITLE","Message From Support"
"TID_REVOKE_OK","Got it"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Cannot send join request. You are already in a team"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Cannot send join request. You have a pending team invite"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Cannot send join request. You have a pending join request"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Join request canceled"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","I WANT TO JOIN YOUR TEAM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORY</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DEFEAT</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>DRAW</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANK <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ago"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","BATTLE LOG"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Survived for <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Defeated Big Brawler in <TIME>"
"TID_BATTLE_LOG_MVP","STAR PLAYER"
"TID_BATTLE_LOG_FRIENDLY","FRIENDLY"
"TID_BATTLE_LOG_TOURNAMENT","TOURNAMENT"
"TID_BATTLE_LOG_PVP","RANKED"
"TID_BATTLE_LOG_PRO_LEAGUE","POWER PLAY"
"TID_BATTLE_LOG_NO_ENTRIES","NO ENTRIES"
"TID_BATTLE_LOG_THIS_IS_A_BOT","This is a bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays currently disabled"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","No replay available yet"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","No replay: too low Brawler trophies"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Reach <NUM> Brawler trophies to unlock replays"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","No replay: recording failed"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay no longer available"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Failed to add friend"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Friend link has expired!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> left"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Next Reward"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirm Alternative Reward"
"TID_RANK_UP_REWARD_REPLACED_POWER","None of your Brawlers can be selected to receive <AMOUNT> power points.\n\nClaim the alternative reward instead?"
