"TID","TH"
"string","string"
"TID_UNDERDOG","ไก่รองบ่อน"
"TID_ACCESSORY","อุปกรณ์เสริม"
"TID_BATTLE_END_COIN_SHOWER","อีเวนท์เหรียญโปรยปราย"
"TID_LFG_POPUP_TITLE_MEMBER","ค้นหาสมาชิก"
"TID_LFG_POPUP_TITLE_TEAM","ค้นหาทีม"
"TID_LFG_POPUP_INFO_MEMBER","ค้นหาผู้เล่นเพื่อร่วมทีมกับคุณ"
"TID_LFG_POPUP_INFO_TEAM","ค้นหาผู้เล่นเพื่อเข้าร่วมทีมปัจจุบันของคุณ"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","เกณฑ์อีเวนท์ (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","ฉันต้องการเล่น (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_START_SEARCH","ไปเลย!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","โหมดเกมนี้ไม่รองรับผู้เล่นเพิ่มเติมแล้ว"
"TID_LOOKING_FOR_A_TEAM","กำลังค้นหาทีม"
"TID_LOOKING_FOR_A_MEMBER","กำลังค้นหาสมาชิก"
"TID_BRAWLER_WIN_INFO","ชนะโดยใช้บรอว์เลอร์ตัวนี้แล้วคุณจะได้รับ<cff8E1b>โทเค็นดวงดาว</c>เพิ่มเติม"
"TID_BRAWLER_WIN","ชนะโดยใช้ <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","เร็วๆ นี้!"
"TID_CC_TEASER_INFO","เตรียมตัวให้พร้อมสำหรับความท้าทายชิงแชมป์ ชนะ <WIN> ครั้ง!\n\nเล่นกับเพื่อนหรือใช้ฟีเจอร์ \qค้นหาทีม\q เพื่อเพิ่มโอกาสของคุณ\n\nความท้าทายจะเปิดให้เล่นเพียง <DURATION> ชั่วโมงเท่านั้น ใช้เวลาให้คุ้มค่าล่ะ!"
"TID_CC_POPUP_TITLE","ความท้าทายชิงแชมป์"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อพิชิตความท้าทาย หากแพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_1_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อคว้าถ้วย แต่แพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_WINS","ชนะ <WINS>/<MAX> ครั้ง"
"TID_CC_POPUP_WINS_FOR_EVENT","ด่าน <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","รอบ 8 ทีมสุดท้าย"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","รอบรองชนะเลิศ"
