"Name","FileName","StartFrame","EndFrame","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"string","string","int","int","int","int","int","int","boolean","string"
"Turret","turret_jessie_geo.scw",,-1,,,,,,
"TurretSpawn","turret_jessie_spawn.scw",,-1,,,,1,,"3"
"TurretIdle","turret_jessie_idle.scw",,-1,,,,,"true",
"TurretAttack","turret_jessie_attack.scw",,-1,,,,1,,"4"
"GunslingerIdle","colt_idle.scw",,-1,,100,100,,"true",
"GunslingerWalk","colt_walk.scw",,-1,125,100,100,,"true","1"
"GunslingerPrimary","colt_attack.scw",,-1,,100,200,100,,"spine_lower_s#3"
"GunslingerSecondary","colt_attack.scw",,-1,,200,200,100,,"spine_lower_s#3"
"GunslingerRecoil","colt_recoil1.scw",1,10,,100,100,200,,"spine_lower_s#4"
"GunslingerRecoil2","colt_recoil2.scw",1,10,,100,100,200,,"spine_lower_s#4"
"GunslingerReload","colt_idle.scw",1,3,,800,800,800,,"spine_lower_s#4"
"GunslingerPushback","colt_pushback.scw",,-1,,100,100,100,,"5"
"GunslingerWin","colt_win.scw",,-1,,,,,,
"GunslingerWinloop","colt_idle.scw",,-1,,,,,"true",
"GunslingerLose","colt_loseloop.scw",,47,,,,200,,
"GunslingerLoseloop","colt_loseloop.scw",48,85,,,,200,"true",
"GunslingerProfile","colt_win.scw",1,1,,,,,,
"TntguyIdle","dynamike_idle.scw",,-1,,100,100,,"true","0"
"TntguyWalk","dynamike_walk.scw",1,29,150,100,100,,"true","1"
"TntguyPrimary","dynamike_attack.scw",1,5,,,,10,,"hips_s#3"
"TntguySecondary","dynamike_super.scw",1,5,,,,10,,"hips_s#3"
"TntguyRecoil","dynamike_attack.scw",5,20,,,,100,,"hips_s#3"
"TntguyReload","dynamike_walk.scw",1,5,150,100,100,10,,"spine_lower_s#0"
"TntguyUlti","dynamike_super.scw",5,20,,,,100,,"hips_s#3"
"TntguyPushback","dynamike_pushback.scw",,-1,,100,100,100,,"5"
"TntguyWin","dynamike_win.scw",1,62,,,,,,
