"Name","Loop","FollowParent","FollowParentAngle","FollowBone","OwnScreenShake","OthersScreenShake","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","GroundBasis","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","EffectZ"
"string","boolean","boolean","boolean","string","int","int","int","string","string","string","string","string","string","string","boolean","int","int","int","string","string","string","int","int"
"mode_gift_aura",,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_1",,"GroundHigh","true",,100,,,,"mode_gift_aura_red",,
,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_2",,"GroundHigh","true",,100,,,,,,
"mode_gift_aura_red",,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_1_red",,"GroundHigh","true",,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_2_red",,"GroundHigh","true",,100,,,,,,
"mode_gift_destoryed",,,,,450,150,,"Sound_Gen_small_explosion","ParticleEmitter",,,"gen_death_smoke",,"GroundHigh",,,120,,,,"mode_gift_destoryed_red",,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_explosion",,"Object","false",,160,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_cloud",,"GroundHigh",,,120,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_frags",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_stars",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_explode",,"Above",,,120,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_gift_soot",,,"GroundLow","true",,120,,,,,,
"mode_gift_destoryed_red",,,,,450,150,,"Sound_Gen_small_explosion","ParticleEmitter",,,"gen_death_smoke_red",,"GroundHigh",,,120,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_explosion",,"Object","false",,160,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_cloud",,"GroundHigh",,,120,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_frags_red",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_stars_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_explode_red",,"Above",,,120,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_gift_soot",,,"GroundLow","true",,120,,,,,,
"mode_gift_goal","true","true",,,450,450,,,"ParticleEmitter",,,"confetti_flying",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"confetti_explosion",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"Gen_Big_Debris_emitter",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"huge_explosion_streaks_emitter",,"Object",,,100,,,,,,
,,,,,,,,,"Effect",,,,"Gen_Explosion","Object",,,100,,,,,,
"gen_brawler_death",,,,,,,,,"ParticleEmitter",,,"gen_death_smoke",,"GroundHigh",,,100,,,,"gen_brawler_death_red",,
,,,,,,,,,"ParticleEmitter",,,"gen_death_explode",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_ground_splat",,"GroundLow","true",,60,,,,,,
