"Name","Type","ChargeCount","Cooldown","UseEffect","LoopingEffect","ActivationDelay","ActiveTicks","StopMovement","SetAttackAngle","AimGuideType","ConsumesAmmo","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","RequirePet","DestroyPet","RequireEnemyDistance","ShieldPercent","ShieldTicks","SkipTypeCondition","CustomObject","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText"
"string","string","int","int","string","string","int","int","boolean","boolean","int","boolean","string","string","boolean","boolean","boolean","boolean","int","int","int","boolean","string","int","int","int","int","int","string","string","string"
"Rosa_GrowBush",,3,100,"gadget_activate",,,,,,1,,"BushGrowArea",,,,,,,,,,,,,,,,,,
"Crow_Shield",,3,100,"gadget_activate",,,,,,,,,,,,,,,60,60,,,,,,,,,,
"Wally_Heal","consume_bush",3,100,"gadget_activate",,,,,,2,,,,,,,,,,,,,3000,,,,,,"TID_ACCESSORY_BLOCKED_BUSH_TOO_FAR",
"RocketGirl_Jump","jump",3,100,"gadget_activate",,,,,,1,,"RocketJumpExplosion",,"true",,,,,,,,,200,,,,,,,
"TrickshotDude_ShootAround","repeat_area",3,100,"gadget_activate",,,20,,,,,"TrickshotDudeAccessoryExplosion",,,,,,,,,,,10,,,,,,,
"Cactus_ShootAround","repeat_area",3,100,"gadget_activate",,,30,,,,,"CactusAccessoryExplosion",,,,,,,,,,,10,,,,,,,
"ArtilleryDude_DestroyPet",,3,100,"gadget_activate",,,,,,3,,,"ArtilleryDudeAccessoryExplosion",,,"true","true",,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",
"Shaman_PetSlam",,3,100,"gadget_activate",,,,,,3,,,"ShamanBearSlam",,,"true",,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_BEAR","TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR",
"Barkeep_Slow",,3,100,"gadget_activate",,,,,,1,,"BarkeepSlowPuddle",,,,,,,,,,,,,,,,,,
"Mechanic_Slow",,3,100,"gadget_activate",,,,,,3,,,"MechanicSlowArea",,,"true",,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",
"HookDude_Push","heal",3,100,"gadget_activate",,,,,,1,,"HookDudePushback",,,,,,,,,"true",,1,1000,,,,,,
"ClusterBombDude_Dash","dash",3,100,"gadget_activate","gadget_max_dash",,8,,,,,"ClusterBombDashMine",,,,,,,,,,,900,2000,,,,,,
"Speedy_Dash","dash",3,100,"gadget_activate","gadget_max_dash",,8,,,,,,,,,,,,100,10,,,1000,2400,,,,,,
"ShotgunGirl_Dash","dash",3,100,"gadget_activate","gadget_max_dash",,8,,,,,,,,,,,,,,,,900,2000,,,,,,
"Driller_SpeedBoost","speed",3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,300,60,,,,,,
"MinigunDude_BurstHeal",,3,100,"gadget_activate",,,,,,3,,,"MinigunDudeTowerBurstHeal",,,"true",,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",
"TntDude_Spin","spin_shoot",3,100,"gadget_activate",,,40,"true",,,,,,,,,,,,,,"TntDudeProjectile",2,100,700,700,100,,,
"Arcade_Teleport","teleport_to_pet",3,100,"gadget_activate",,,10,"true",,,,,,"true",,"true","true",,,,,"ArcadeTeleport",,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",
"BarrelBot_Spin","spin_shoot",3,100,"gadget_activate","darryl_def_atk",,15,"true",,,,,,,,,,,,,,"BarrelBotSpinProjectile",1,25,700,2500,0,,,
"HammerDude_Immunity","cc_immunity",3,100,"gadget_activate","gadget_frank_headphones",,40,,,,,,,,"true",,,,,,,,40,,,,,,,
"Whirlwind_Trail","trail",3,100,"gadget_activate",,,100,,,,,,,,,,,,,,,"WhirlwindTrail",,,,,,,,
"BowDude_Totem","spawn",3,100,"gadget_activate",,,,,,,,,,,,,,,,,,"BowDudeTotem",1,,,,,,,
"Luchador_Grab","throw_opponent",3,100,"gadget_activate",,,10,"true",,4,,,,,,,,3,,,,,300,,,,,,,
"Undertaker_Swing","spin_shoot",3,100,"gadget_activate",,,8,"true",,1,,"UndertakerSwingDamage",,,,,,,,,,,100,,,,,,,
"BlackHole_Vision","vision",3,100,"gadget_activate","gadget_tara_vision",,100,,,,,,,,,,,,,,,,,,,,,,,
"DeadMariachi_Regen",,3,100,"gadget_activate",,,,,,1,,"PocoRegenArea",,,,,,,,,,,,,,,,,,
"Sniper_HandGun","repeat_shot",3,100,"gadget_activate",,,20,,"true",4,,,,,,,,7,,,,"PiperHandgunProjectile",5,400,,,,,,
"SpawnerDude_Promote","promote_minion",3,100,"gadget_activate",,,,,,,,,,,,"true",,,,,,,150,1000,,,,"TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_PORTER_ALREADY_PROMOTED"
"Sandstorm_Sleep","heal",3,100,"gadget_activate","gadget_sandy_sleep",40,,"true",,,,,,,,,,,,,,,1,,,,,,,
"BeeSniper_Slow","spawn",3,100,"gadget_activate",,,,,,,,,,,,,,,,,,"BeeSniperSlowPot",1,,,,,,,
"BullDude_Heal","heal",3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,1,1500,,,,,,
"Gunslinger_Reload","reload",3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,200,,,,,,,
"Mummy_Push",,3,100,"gadget_activate",,,,,,1,,"MummyAccessoryPushback",,,,,,,,,,,,,,,,,,
"Baseball_Heal","heal",3,100,"gadget_activate",,,80,,,,,,,,,,,,,,,,2,600,,,,,,
