"Name","FileName","OwnExportName","BlueExportName","RedExportName","Layer","ExportNameTop","ExportNameObject","Effect","LoopingEffect","Scale","TimeMs","Radius","Damage","CustomValue","Type","BulletExplosionBullet","BulletExplosionBulletDistance","DestroysEnvironment","PushbackStrength","PushbackStrengthSelf","FreezeStrength","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs"
"string","string","string","string","string","string","string","string","string","string","int","int","int","int","int","string","string","int","boolean","int","int","int","boolean","int"
"Brock_def_atk_area","sc/effects.sc",,,,"Ground",,,"brock_def_explosion_blue",,70,700,300,,,"Damage",,,,,,,,
"Brock_def_ulti_area","sc/effects.sc",,,,"Ground",,,"brock_def_ultiExp_blue",,100,700,450,,,"Damage",,,"true",,,,,
"Brock_002_atk_area","sc/effects.sc",,,,"Ground",,,"brock_002_explosion_blue",,70,700,300,,,"Damage",,,,,,,,
"Brock_002_ulti_area","sc/effects.sc",,,,"Ground",,,"brock_def_ultiExp_blue",,100,700,450,,,"Damage",,,"true",,,,,
"RocketGirlExplosion","sc/effects.sc","range400_blue","range400_blue","range400_red","Ground",,,"explosion_rocket_rose",,70,700,300,,,"Damage",,,,,,,,
"RocketGirlUltiExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_rocket_rose_ulti",,100,700,450,,,"Damage",,,"true",,,,,
"CactusExplosion","sc/effects.sc",,,,"Ground",,,"spike_def_atk1_explosion",,70,700,300,,,"Damage",,,,,,,,
"CactusSpikeExplosion","sc/effects.sc",,,,"Ground",,,,,100,700,300,,6,"BulletExplosion","CactusSpike",13,,,,,,
"CactusUltiExplosion","sc/effects.sc",,,,"Ground",,,"spike_def_ulti_explosion",,170,4500,800,800,,"Dot",,,,,,350,,
"Spike_002_atk1_explosion","sc/effects.sc",,,,"Ground",,,"spike_002_atk1_explosion",,70,700,300,,,"Damage",,,,,,,,
"Spike_002_atk2","sc/effects.sc",,,,"Ground",,,,,100,700,300,,6,"BulletExplosion","Spike002Spike",13,,,,,,
"Spike_002_ulti_explosion","sc/effects.sc",,,,"Ground",,,"spike_002_ulti_explosion",,170,4500,800,800,,"Dot",,,,,,350,,
"BarkeepExplosion","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","Ground",,,"explosion_barkeep",,55,1900,600,,,"Dot",,,,,,,,
"BarkeepWizardExplosion","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","Ground",,,"explosion_barkeep_wizard",,55,1900,600,,,"Dot",,,,,,,,
"BarkeepUltiExplosion","sc/effects.sc","toxic_area_effect_ulti_blue","toxic_area_effect_ulti_blue","toxic_area_effect_red","Ground",,,"explosion_barkeep_ulti",,55,3900,600,,,"Dot",,,,,,,,1000
"BarkeepWizardUltiExplosion","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","Ground",,,"explosion_ulti_barkeep_wizard",,55,3900,600,,,"Dot",,,,,,,,1000
"ExplodingBarrelExplosion","sc/effects.sc","gen_explosion_ring1_area","gen_explosion_ring1_area","gen_explosion_ring1_area","Ground",,,"explosion_600",,100,700,600,2000,,"Damage",,,"true",120,,,,
"PoisonBarrelExplosion","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","Ground",,,"explosion_800",,100,10500,800,400,,"Dot",,,,,,,,
"TntDudeExplosion","sc/effects.sc",,,,"Ground",,,"explosion_tnt_dude",,100,700,450,,,"Damage",,,,,150,,,
