Name,LockedForChronos,Disabled,ItemName,WeaponSkill,UltimateSkill,Pet,Speed,Hitpoints,MeleeAutoAttackSplashDamage,AutoAttackSpeedMs,AutoAttackDamage,AutoAttackBulletsPerShot,AutoAttackMode,AutoAttackProjectileSpread,AutoAttackProjectile,AutoAttackRange,RegeneratePerSecond,UltiChargeMul,UltiChargeUltiMul,Type,DamagerPercentFromAliens,DefaultSkin,FileName,BlueExportName,RedExportName,ShadowExportName,AreaEffect,DeathAreaEffect,TakeDamageEffect,DeathEffect,MoveEffect,ReloadEffect,OutOfAmmoEffect,DryFireEffect,SpawnEffect,MeleeHitEffect,AutoAttackStartEffect,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,LoopedEffect,LoopedEffect2,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,AttackStartEffectOffset,TwoWeaponAttackEffectOffset,ShadowScaleX,ShadowScaleY,ShadowX,ShadowY,ShadowSkew,Scale,HeroScreenScale,EndScreenScale,GatchaScreenScale,HomeScreenScale,HeroScreenXOffset,HeroScreenZOffset,CollisionRadius,HealthBar,HealthBarOffsetY,FlyingHeight,ProjectileStartZ,StopMovementAfterMS,WaitMS,TID,ForceAttackAnimationToEnd,IconSWF,IconExportName,RecoilAmount,Homeworld,FootstepClip,DifferentFootstepOffset,FootstepIntervalMS,AttackingWeaponScale,UseThrowingLeftWeaponBoneScaling,UseThrowingRightWeaponBoneScaling,ShowEnemyInMenus,CommonSetUpgradeBonus,RareSetUpgradeBonus,SuperRareSetUpgradeBonus,CanWalkOverWater,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,ChargeUltiAutomatically,VideoLink
string,boolean,boolean,string,string,string,string,int,int,boolean,int,int,int,string,int,string,int,int,int,int,String,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,string,boolean,string,string,int,string,string,int,int,int,boolean,boolean,boolean,int,int,int,boolean,boolean,int,int,int,int,int,int,int,string
ShotgunGirl,,,shelly,ShotgunGirlWeapon,ShotgunGirlUlti,,720,3600,,,,,,,,12,,128,120,Hero,,BanditGirlDefault,,,,,,,takedamage_gen,death_shotgun_girl,Gen_move_fx,reload_shotgun_girl,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Shelly_Kill,Shelly_Lead,Shelly_Start,Utilshotgun_Vo,ShellyTakedamge_Vo,Shelly_Die,,30,,80,80,,,35,116,210,90,175,260,,,120,Medium,-48,,450,,,TID_SHOTGUN_GIRL,,sc/ui.sc,hero_icon_shelly,1000,human,footstep,25,250,200,,,,1,3,2,,,,,,,,,,ShellyTutorial
Gunslinger,,,colt,GunslingerWeapon,GunslingerUlti,,720,2800,,,,,,,,12,,115,90,Hero,,GunSlingerDefault,,,,,,,takedamage_gen,death_gunslinger,Gen_move_fx,reload_gunslinger,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Hotshot_Kill,Hotshot_Lead,Hotshot_Start,Hotshot_Ulti,Hotshot_Takedamge_Vo,Hotshot_Die,,35,50,80,80,,,35,116,210,90,185,270,,,120,Medium,-52,,400,,,TID_GUNSLINGER,,sc/ui.sc,hero_icon_colt,300,human,footstep,25,300,160,,,,2,3,1,,,,,,,,,,ColtTutorial
BullDude,,,bull,BullDudeWeapon,BullDudeUlti,,770,5200,,,,,,,,12,,95,120,Hero,,BullGuyDefault,,,,,,,takedamage_gen,death_bull_dude,Gen_move_fx,reload_bull_dude,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Bull_kill,Bull_lead,Bull_start,Bull_ulti,Bull_takedamage_vo,Bull_die,,40,,80,80,,,35,116,175,80,150,220,,,145,Medium,-64,,450,,,TID_BULL_DUDE,,sc/ui.sc,hero_icon_bull,600,human,footstep,40,300,130,,,,1,2,3,,,,,,,,,,BullTutorial
RocketGirl,,,brock,RocketGirlWeapon,RocketGirlUlti,,720,2800,,,,,,,,12,,120,80,Hero,,RocketGirlDefault,,,,,,,takedamage_gen,death_rocket_girl,Gen_move_fx,reload_rocket_girl,No_ammo_shotgungirl,Brock_dryfire,,,,,,,,,,,Brock_kill_vo,Brock_lead_vo,Brock_start_vo,Brock_ulti_vo,Brock_hurt_vo,Brock_die_vo,,35,,80,80,,,35,116,200,80,180,260,,,120,Medium,-52,,500,,,TID_ROCKET_GIRL,,sc/ui.sc,hero_icon_brock,300,human,footstep,25,300,100,,,true,2,3,1,,,,,,,,,,BrockTutorial
TrickshotDude,,,ricochet,TrickshotDudeWeapon,TrickshotDudeUlti,,720,2400,,,,,,,,12,,112,112,Hero,,TrickshotDefault,,,,,,,takedamage_gen,death_trickshot_dude,Gen_move_fx,reload_trickshot_dude,No_ammo_shotgungirl,dry_fire_mechanic,,,,,,,,,,,Rick_kill,Rick_lead,Rick_start,Rick_ulti,Rick_hurt,Rick_die,,60,,80,80,,,35,116,200,90,175,260,,,120,Medium,-49,,450,,,TID_TRICKSHOT_DUDE,,sc/ui.sc,hero_icon_rick,300,human,footstep,25,300,160,,,,2,3,1,,,,,,,,,,RicoTutorial
Cactus,,,spike,CactusWeapon,CactusUlti,,720,2400,,,,,,,,12,,120,120,Hero,,CactusDefault,,,,,,,takedamage_gen,death_cactus,Gen_move_fx,reload_cactus,No_ammo_shotgungirl,crow_dryfire,,,,,,,,,,,,,,,,,,35,,80,80,,,35,116,240,80,210,290,,,120,Medium,-32,,450,,,TID_CACTUS,,sc/ui.sc,hero_icon_spike,0,human,footstep,40,300,100,true,true,,2,1,3,,,,,,,,,,SpikeTutorial
Barkeep,,,barley,BarkeepWeapon,BarkeepUlti,,720,2400,,,,,,,,12,,105,70,Hero,,BarkeepDefault,,,,,,,takedamage_gen,death_barkeep,Gen_move_fx,reload_barkeep,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Barley_Kill,Barley_Lead,Barley_Start,Barley_Ulti,Barley_Hurt,Barley_Die,Barley_throw,,,80,80,,,35,116,190,80,180,250,,,120,Medium,-45,,350,,,TID_BARKEEP,,sc/ui.sc,hero_icon_barley,0,human,footstep,25,300,100,true,true,,2,3,1,,,,,,,,,,BarleyTutorial
Mechanic,,,jessie,MechanicWeapon,MechanicUlti,,720,3200,,,,,,,,12,,85,100,Hero,,MechanicDefault,,,,,,,takedamage_gen,death_mechanic,Gen_move_fx,reload_mechanic,No_ammo_shotgungirl,dry_fire_mechanic,,,,,,,,,,,Jess_kill,Jess_lead,Jess_start,Jess_ulti,Jess_takedamage,Jess_die,,35,,80,80,,,35,116,190,80,150,270,-400,,120,Medium,-47,,350,,,TID_MECHANIC,,sc/ui.sc,hero_icon_jess,500,human,footstep,20,200,160,,,,3,2,1,,,,,,,,,,JessieTutorial
Shaman,,,nita,ShamanWeapon,ShamanUlti,,720,3800,,,,,,,,12,,85,90,Hero,,ShamanDefault,,,,,,,takedamage_gen,death_shaman,Gen_move_fx,,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Nita_kill,Nita_lead,Nita_start,Nita_ulti,Nita_hurt,Nita_death,,35,,80,80,,,35,116,190,80,150,270,-475,,120,Medium,-46,,100,,,TID_SHAMAN,,sc/ui.sc,hero_icon_nita,1000,human,footstep,25,250,160,,,,3,1,2,,,,,,,,,,NitaTutorial
TntDude,,,dynamike,TntDudeWeapon,TntDudeUlti,,720,2800,,,,,,,,12,,120,100,Hero,,TntGuyDefault,,,,,,,takedamage_gen,death_tnt_dude,Gen_move_fx,reload_tnt_dude,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Tnt_guy_kill_vo,Tnt_guy_lead_vo,Tnt_guy_start_vo,Tnt_guy_ulti_vo,Tnt_guy_hurt_vo,Tnt_guy_die_vo,,35,,80,80,,,35,116,190,80,150,270,,,120,Medium,-50,,350,,,TID_TNT_DUDE,,sc/ui.sc,hero_icon_mike,0,human,footstep,25,200,100,true,true,true,2,1,3,,,,,,,,,,MikeTutorial
Luchador,,,elprimo,LuchadorWeapon,LuchadorUlti,,770,5800,,,,,,,,12,,120,120,Hero,,LuchadorDefault,,,,,,,takedamage_gen,death_luchador,Gen_move_fx,,No_ammo_shotgungirl,dry_fire_barkeep,,Gen_hit_melee,,,,,,,,,El_primo_kill,El_primo_lead,El_primo_start,El_primo_ulti,El_primo_hurt,El_primo_die,El_primo_atk,50,50,80,80,,,35,116,170,80,150,235,,,145,Medium,-56,,400,,,TID_LUCHADOR,,sc/ui.sc,hero_icon_primo,0,human,footstep,40,250,130,,,,1,3,2,,,,,,,,,,PrimpTutorial
Undertaker,,,mortis,UndertakerWeapon,UndertakerUlti,,820,3800,,,,,,,,12,,92,120,Hero,,UndertakerDefault,,,,,,,takedamage_gen,death_undertaker,Gen_move_fx,reload_undertaker,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Mortis_kill,Mortis_lead,Mortis_start,Mortis_ulti_vo,Mortis_hurt,Mortis_die,Mortis_atk_vo,50,,80,80,,,35,130,200,95,170,260,,,120,Medium,-59,,350,,,TID_UNDERTAKER,,sc/ui.sc,hero_icon_mortis,0,human,footstep,25,350,165,,,,1,2,3,,,,,,,,,,MortisTutorial
