"Name","Variation","Disabled","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreTextEnd","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2","StartNotification","EndNotification"
"string","int","Boolean","string","string","string","string","string","string","string","string","int","string","string","string","String","String"
"GemGrab",0,,"TID_GAME_MODE_0","chat_letsplay_gemgrab","event_gameroom_gemgrab","event_icon_gemgrab",,,,,1,"TID_GAME_MODE_0","TID_COIN_RUSH_INTRO_TEXT",,"CoinRushStart",
"Deleted1",1,"TRUE",,,,,,,,,,,,,,
"Heist",2,,"TID_GAME_MODE_2","chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,,3,"TID_GAME_MODE_2","TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","AttackDefendStart",
"Bounty",3,,"TID_GAME_MODE_3","chat_letsplay_wanted","event_gameroom_wanted","event_icon_wanted",,,,,4,"TID_GAME_MODE_3","TID_BOUNTY_HUNTER_INTRO_TEXT",,"BountyStart",
"Deleted2",4,"TRUE",,,,,,,,,,,,,,
"BrawlBall",5,,"TID_GAME_MODE_5","chat_letsplay_brawlball","event_gameroom_brawlball","event_icon_brawlball","Brawlbawl_goal","Brawlbawl_other_goal","TID_GOAL","TID_GOAL_MATCH_OVER",5,"TID_GAME_MODE_5","TID_LASER_BALL_INTRO_TEXT",,"LaserBallStart",
"Showdown",6,,"TID_GAME_MODE_6","chat_letsplay_survival","event_gameroom_survival","event_icon_survival",,,,,2,"TID_GAME_MODE_6","TID_BATTLE_ROYALE_INTRO_TEXT",,"BRStart",
"BigGame",7,,"TID_GAME_MODE_7","chat_letsplay_bossmode","event_gameroom_bossmode","event_icon_bossmode",,,,,10,"TID_GAME_MODE_7","TID_BOSS_INTRO_TEXT_ATTACK","TID_BOSS_INTRO_TEXT_DEFEND","BossStart",
"RoboRumble",8,,"TID_GAME_MODE_8","chat_letsplay_coop","event_gameroom_coop","event_icon_coop",,,,,11,"TID_GAME_MODE_8","TID_COOP_INTRO_TEXT",,"CoopStart",
"DuoShowdown",9,,"TID_GAME_MODE_9","chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,,,"TID_GAME_MODE_9","TID_BATTLE_ROYALE_TEAM_INTRO_TEXT",,,
"BossFight",10,,"TID_GAME_MODE_10","chat_letsplay_raid","event_gameroom_raid","event_icon_raid",,,,,12,"TID_GAME_MODE_10","TID_RAID_BOSS_INTRO_TEXT",,"RaidBossStart",
"Siege",11,,"TID_GAME_MODE_11","chat_letsplay_robowars","event_gameroom_robowars","event_icon_robowars",,,,,7,"TID_GAME_MODE_11","TID_ROBO_WARS_INTRO_TEXT",,"RoboWarsStart",
"Tutorial",12,,,,,,,,,,,,,,,
"Training",13,,,,,,,,,,,,,,,
"Takedown",14,,"TID_GAME_MODE_14","chat_letsplay_takedown","event_gameroom_takedown","event_icon_takedown",,,,,8,"TID_GAME_MODE_14","TID_BOSS_RACE_INTRO_TEXT",,"TakedownStart",
"LoneStar",15,,"TID_GAME_MODE_15","chat_letsplay_lone_star","event_gameroom_lone_star","event_icon_lone_star",,,,,9,"TID_GAME_MODE_15","TID_BOUNTY_HUNTER_INTRO_TEXT",,"LoneStarStart",
"CTF",16,,"TID_GAME_MODE_16","chat_letsplay_ctf","event_gameroom_ctf","event_icon_ctf","Brawl_xmas_flag_win","Brawl_xmas_flag_lose","TID_CTF_GOAL","TID_CTF_GOAL_MATCH_OVER",6,"TID_GAME_MODE_16","TID_CTF_INTRO_TEXT",,"CTFStart",
"KingOfHill",17,,"TID_GAME_MODE_17","chat_letsplay_king_of_hill","event_gameroom_king_of_hill","event_icon_king_of_hill",,,,,12,"TID_GAME_MODE_17","TID_KING_OF_HILL_INTRO_TEXT",,"KOHStart",
