"Name","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","Value","Value2","TriggerRangeSubTiles","TriggerAreaEffect","CanBePickedUp","SpawnEffect","SCW","SCWEnemy","Layer"
"string","string","string","string","string","string","string","int","int","int","string","boolean","string","string","string","string"
"Health","sc/effects.sc","soul","soul",,"pickup_glow_green","Health_fx",16000,,3,,"true","Spawn_plasmoid",,,"Above"
"Speed","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",300,,3,,"true","Spawn_plasmoid",,,"Above"
"DamageAndSpeed","sc/effects.sc",,,,"pickup_glow_green","power_up_bottle_sparkle",200,200,3,,"true","Spawn_buff","sc3d/item_power_up_bottle.scw","sc3d/item_power_up_bottle.scw","Above"
"Point","sc/effects.sc","blob_pickup","blob_pickup",,"pickup_glow","Blob_fx",,,3,,"true","Spawn_plasmoid",,,"Above"
"Corpse","sc/effects.sc","soul","soul",,"pickup_glow_green","Health_fx",800,,3,,"true","Spawn_plasmoid",,,"Above"
"OrbSpawner",,,,,,,,,,,,"Spawn_plasmoid","sc3d/mine_gem_spawn.scw","sc3d/mine_gem_spawn.scw","Ground"
"Mine","sc/effects.sc","mine","mine_red","projectile_shadow",,,800,1150,3,"MineExplosion","true","Spawn_mine",,,"Above"
"SupplyCrate","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,,,,,,"Spawn_plasmoid",,,"Above"
"BoxOfMines","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,3,8,,,,"Spawn_plasmoid",,,"Above"
"BattleRoyaleBuff","sc/effects.sc",,,,"pickup_glow_green","Health_fx",10,400,3,,"true","Spawn_plasmoid","sc3d/item_showdown_boost.scw","sc3d/item_showdown_boost.scw","Above"
"Money","sc/effects.sc","wanted_star_pickup","wanted_star_pickup",,"pickup_glow_gold","Blob_fx",1,,3,,"true","Spawn_plasmoid",,,"Above"
"BoxOfBombs","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,3,9,,,,"Spawn_plasmoid",,,"Above"
"Bomb","sc/effects.sc","grenade_01","grenade_01_red","projectile_shadow",,,800,300,200,"SniperBombExplosion","true","Spawn_sniper_bomb",,,"Above"
"BoxOfSelfDestructBombs","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,6,20,,,,"Spawn_plasmoid",,,"Above"
"SelfDestructBomb","sc/effects.sc","cannon_projectile_blue","cannon_projectile_red","projectile_shadow",,,800,1300,200,"SelfDestructExplosion","true","artillery_dude_turret_attack",,,"Above"
"Scrap","sc/effects.sc","blob_pickup","blob_pickup","projectile_shadow",,"Blob_fx",,,3,,"true","Spawn_plasmoid",,,"Above"
