"Name","IconSWF","IconExportName","LocalizedName","SortOrder","Enabled","FileName","TestLanguage","UsedSystemFont","PreferedFallbackFont","ForcedFontFullName","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","TestExcludes","LoadAllLanguages","ChampionshipRegisterUrl","TermsAndServiceUrl","ParentsGuideUrl","PrivacyPolicyUrl","LaserboxUrl","LaserboxStagingUrl","LaserboxCommunityUrl","LaserboxCommunityStagingUrl","LaserboxLangCode","FaqUrl_ios","FaqUrl_android","ContactUsUrl_ios","ContactUsUrl_android","LaserboxEnabled","IsRTL","isNounAdj","SeparateThousandsWithSpaces","SelfHelpUrl","FallbackToHelpshift"
"String","String","String","String","int","Boolean","String","Boolean","String","String","String","String","String","String","Boolean","String","String","String","String","String","String","String","String","String","String","String","String","String","Boolean","Boolean","Boolean","Boolean","String","Boolean"
"EN","sc/ui.sc","flag_gb","English",0,"true","localization/texts.csv",,,,,"en",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/en/index.html",
"CN","sc/ui.sc","flag_gb","简体中文",5,"true","localization/cn.csv",,"STHeitiSC-Medium",,,"zh-Hans","zh_CN",,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/cn","http://www.supercell.com/en/parents/cn","http://www.supercell.com/en/privacy-policy/cn","https://inbox.brawlstars.com/","https://testbrawlstars.scinbox.qq.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=zh","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=zh","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=zh","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=zh",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/zh/index.html","TRUE"
"AR","sc/ui.sc","flag_gb","العربية",18,"true","localization/ar.csv",,,,,"ar",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/ar/","http://www.supercell.com/en/parents/ar/","http://www.supercell.com/en/privacy-policy/ar/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/ar/","https://inbox.brawlstars.com/ar/community/","https://staging.inbox.brawlstars.com/ar/community/","ar","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=ar","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=ar","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=ar","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=ar",,"TRUE",,,"https://ingame.help.supercellsupport.com/brawl-stars/ar/index.html",
"FR","sc/ui.sc","flag_gb","Français",1,"true","localization/fr.csv",,,,,"fr",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr","https://inbox.brawlstars.com/fr/","https://staging.inbox.brawlstars.com/fr/","https://inbox.brawlstars.com/fr/community/","https://staging.inbox.brawlstars.com/fr/community/","fr","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=fr","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=fr","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=fr","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=fr",,,"TRUE","TRUE","https://ingame.help.supercellsupport.com/brawl-stars/fr/index.html",
"DOUBLE","sc/ui.sc","flag_gb","Double",101,"false","localization/texts.csv","TRUE",,,,"en",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/en/index.html",
"EMPTY","sc/ui.sc","flag_gb","Empty",102,"false","localization/texts.csv","TRUE",,,,"en",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/en/index.html",
"DOUBLEDOUBLE","sc/ui.sc","flag_gb","DoubleDouble",103,"false","localization/texts.csv","TRUE",,,,"en",,,,"http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/en/index.html",
"TEXT","sc/ui.sc","flag_gb","Longest text",104,"false","localization/texts.csv","TRUE",,,,"en",,"CN","TRUE","http://www.supr.cl/bsc","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/",,"https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,,"https://ingame.help.supercellsupport.com/brawl-stars/en/index.html",
,,,,,,,,,,,,,"CNT",,,,,,,,,,,,,,,,,,,,
