"Name","Disabled","TID","TileSetPrefix","BgPrefix","SWF","GroundSCW","EnvironmentSCW","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","CommunityCredit"
"string","boolean","string","string","string","string","string","string","int","int","int","int","int","int","string","string","string","string","int","int","int","int","string","string"
"Wanted1",,"TID_WANTED_1","oasis_",,"sc/oasis_level.sc","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_1",0,66,66,60,"BattleMusic",
"Wanted3","true","TID_WANTED_3","oasis_",,"sc/oasis_level.sc","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_3",0,66,66,60,"BattleMusic",
"Wanted4","true","TID_WANTED_4",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_3",100,0,0,60,"BattleMusic",
"Wanted5","true","TID_WANTED_5",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_2",100,0,0,60,"BattleMusic",
"Wanted6",,"TID_WANTED_6",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_6",100,0,0,60,"BattleMusic",
"Wanted7","true","TID_WANTED_7",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_7",100,0,0,60,"BattleMusic",
"Wanted2","true","TID_WANTED_2","oasis_",,"sc/oasis_level.sc","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_2",0,66,66,60,"BattleMusic",
"Gemgrab1",,"TID_GOLDRUSH_1","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_1",0,0,100,60,"BattleMusic",
"Gemgrab2",,"TID_GOLDRUSH_2","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_2",0,0,100,60,"BattleMusic",
