"Name","RequiredExpLevel","RequiredTotalTrophies","RequiredSeasonPoints","RequiredHero","IconSWF","IconExportName","SortOrder"
"string","int","int","int","string","string","string","int"
"base1",1,0,,,"sc/ui.sc","player_icon_00",0
"base2",10,0,,,"sc/ui.sc","player_icon_01",1
"base3",20,0,,,"sc/ui.sc","player_icon_02",2
"hero1",0,0,,"ShotgunGirl","sc/ui.sc","player_icon_shelly",16
"hero2",0,0,,"Gunslinger","sc/ui.sc","player_icon_colt",18
"hero3",0,0,,"RocketGirl","sc/ui.sc","player_icon_brock",21
"hero4",0,0,,"Mechanic","sc/ui.sc","player_icon_jess",20
"hero5",0,0,,"Shaman","sc/ui.sc","player_icon_nita",17
"hero6",0,0,,"TntDude","sc/ui.sc","player_icon_mike",22
"hero7",0,0,,"Luchador","sc/ui.sc","player_icon_primo",24
"hero8",0,0,,"BullDude","sc/ui.sc","player_icon_bull",19
"hero9",0,0,,"TrickshotDude","sc/ui.sc","player_icon_rick",27
"hero10",0,0,,"Barkeep","sc/ui.sc","player_icon_barley",25
"hero11",0,0,,"DeadMariachi","sc/ui.sc","player_icon_poco",26
"hero12",0,0,,"Undertaker","sc/ui.sc","player_icon_mortis",33
"hero13",0,0,,"BowDude","sc/ui.sc","player_icon_bo",23
"hero14",0,0,,"Cactus","sc/ui.sc","player_icon_spike",36
"hero15",0,0,,"Crow","sc/ui.sc","player_icon_crow",37
"hero16",0,0,,"Sniper","sc/ui.sc","player_icon_piper",30
"base4",40,0,,,"sc/ui.sc","player_icon_03",3
"base5",60,0,,,"sc/ui.sc","player_icon_04",4
"base6",80,0,,,"sc/ui.sc","player_icon_05",5
"base7",100,0,,,"sc/ui.sc","player_icon_06",6
"base8",120,0,,,"sc/ui.sc","player_icon_07",7
"trophy1",0,500,,,"sc/ui.sc","player_icon_trophy_00",8
"trophy2",0,1000,,,"sc/ui.sc","player_icon_trophy_01",9
"trophy3",0,2000,,,"sc/ui.sc","player_icon_trophy_02",10
"trophy4",0,3000,,,"sc/ui.sc","player_icon_trophy_03",11
"hero17",0,0,,"MinigunDude","sc/ui.sc","player_icon_mj",31
"hero18",0,0,,"BlackHole","sc/ui.sc","player_icon_taro",34
"trophy5",0,5000,,,"sc/ui.sc","player_icon_elite_00",12
"trophy6",0,7000,,,"sc/ui.sc","player_icon_elite_01",13
"trophy7",0,10000,,,"sc/ui.sc","player_icon_elite_02",14
"trophy8",0,13000,,,"sc/ui.sc","player_icon_elite_03",15
"hero19",0,0,,"BarrelBot","sc/ui.sc","player_icon_barrelbot",28
"hero20",0,0,,"ArtilleryDude","sc/ui.sc","player_icon_penny",29
"hero21",0,0,,"HammerDude","sc/ui.sc","player_icon_frank",32
"hero22",0,0,,"Ninja","sc/ui.sc","player_icon_leon",38
"hero23",0,0,,"HookDude","sc/ui.sc","player_icon_gene",35
