"Name","ParentProjectileForSkin","Speed","FileName","BlueSCW","RedSCW","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamagesConstantlyTickDelay","FreezeStrength","FreezeDurationMS","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","DamageOnlyWithOneProj","HealOwnPercent","CanGrowStronger","HideFaster","GrapplesEnemy","KickBack","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","MinDistanceForSpread","IsFriendlyHomingMissile","IsBoomerang","CanHitAgainAfterBounce","IsHomingMissile","BlockUltiCharge","PoisonType","TravelType","HomingStrength","HomeIgnoreTicks","HomeDistance","HomeLifeTime"
"string","string","int","string","string","string","string","string","string","string","string","string","string","int","string","string","string","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","string","string","boolean","boolean","boolean","int","string","boolean","boolean","boolean","int","int","int","int","int","string","int","int","int","int","int","int","int","int","int","boolean","int","boolean","int","boolean","int","boolean","boolean","boolean","int","boolean","int","int","int","int","int","int","boolean","int","boolean","boolean","boolean","boolean","boolean","int","int","int","int","int","int"
"ShotgunGirlProjectile",,3100,"sc/effects_brawler.sc",,,"bullet_shotgun_def_blue_long","bullet_shotgun_def_red_long","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","bull_def_atk_reached",0,,,,,0,2,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlUltiProjectile",,4130,"sc/effects_brawler.sc",,,"bullet_shotgun_ulti_blue","bullet_shotgun_ulti_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","shelly_def_ulti_reached",50,,,,,0,2,0,100,,,,,,,"true",,,,,"true","true",,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelly002Projectile","ShotgunGirlProjectile",,"sc/effects.sc",,,"shelly_attack_anim_blue","shelly_attack_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","no_hit",,,,,,0,,0,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelly002UltiProjectile","ShotgunGirlUltiProjectile",,"sc/effects.sc",,,"shelly_ulti_anim_blue","shelly_ulti_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","no_hit",,,,,,0,,0,100,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelly003Projectile","ShotgunGirlProjectile",,"sc/effects_brawler.sc",,,"shelly_003_atk_projectile","shelly_003_atk_projectile_red","shadow_normal_circle",,,,,,"shelly_003_atk_hitEnv","shelly_003_atk_hit","shelly_003_atk_reached",,,,,,0,,0,100,,,,,,"shelly_003_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelly003UltiProjectile","ShotgunGirlUltiProjectile",,"sc/effects_brawler.sc",,,"shelly_003_ulti_projectile","shelly_003_ulti_projectile_red","shadow_normal_circle",,,,,,"shelly_003_ulti_reached","shelly_003_ulti_hit_red","shelly_003_ulti_reached",,,,,,0,,0,100,,,,,,"shelly_003_ulti_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunslingerProjectile",,3804,"sc/effects_brawler.sc",,,"bullet_pistol_def_atk_blue","bullet_pistol_def_atk_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","colt_def_atk_reached",50,,,,,0,2,0,130,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunslingerUltiProjectile",,4891,"sc/effects_brawler.sc",,,"bullet_pistol_def_ulti_blue","bullet_pistol_def_ulti_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","colt_def_ulti_reached",101,,,,,0,2,0,125,,,,,,,"true",,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colt002Projectile","GunslingerProjectile",,"sc/effects_brawler.sc",,,"colt_002_bullet_atk_blue","colt_002_bullet_atk_red","shadow_normal_circle",,,,,,"colt_002_hit","colt_002_hit","colt_def_atk_reached",,,,,,0,,0,130,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colt002UltiProjectile","GunslingerUltiProjectile",,"sc/effects_brawler.sc",,,"colt_002_bullet_ulti_blue","colt_002_bullet_ulti_red","shadow_normal_circle",,,,,,"colt_002_hit","colt_002_hit","colt_def_ulti_reached",,,,,,0,,0,125,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colt003Projectile","GunslingerProjectile",,"sc/effects_brawler.sc",,,"colt_003_bullet_atk_blue","colt_003_bullet_atk_red","shadow_normal_circle",,,,,,"colt_003_atk_hitEnv","colt_003_atk_hit","colt_003_atk_reached",,,,,,0,,0,130,2,,,,,"colt_003_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colt003UltiProjectile","GunslingerUltiProjectile",,"sc/effects_brawler.sc",,,"colt_003_bullet_ulti_blue","colt_003_bullet_ulti_red","shadow_normal_circle",,,,,,"colt_003_atk_hitEnv","colt_003_atk_hit","colt_003_ulti_reached",,,,,,0,,0,125,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BullDudeProjectile",,2853,"sc/effects_brawler.sc",,,"bullet_shotgun_def_blue_short","bullet_shotgun_def_red_short","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","bull_def_atk_reached",0,,,,,0,2,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlProjectile",,3044,"sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_atk_tail_blue","brock_def_atk_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,101,,,,,0,2,0,120,,"Brock_def_atk_area",,,,"brock_def_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlUltiProjectile",,870,"sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,93,2,0,120,,"Brock_def_ulti_area",,,,"brock_def_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock002Projectile","RocketGirlProjectile",,"sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_002_atk_tail_blue","brock_002_atk_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,0,,0,120,,"Brock_002_atk_area",,,,"brock_def_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock002UltiProjectile","RocketGirlUltiProjectile",,"sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,93,,0,120,,"Brock_002_ulti_area",,,,"brock_def_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock003Projectile","RocketGirlProjectile",,"sc/effects_brawler.sc","sc3d/brock_003_atk_blue.scw","sc3d/brock_003_atk_red.scw","brock_def_atk_tail_blue","brock_def_atk_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,0,,0,120,,"Brock_def_atk_area",,,,"brock_def_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock003UltiProjectile","RocketGirlUltiProjectile",,"sc/effects_brawler.sc","sc3d/brock_003_atk_blue.scw","sc3d/brock_003_atk_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,93,,0,120,,"Brock_def_ulti_area",,,,"brock_def_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock004Projectile","RocketGirlProjectile",,"sc/effects_brawler.sc","sc3d/brock_004_atk_blue.scw","sc3d/brock_004_atk_red.scw","brock_004_atk_tail_blue","brock_004_atk_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,0,,0,120,,"Brock_004_atk_area",,,,"brock_004_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock004UltiProjectile","RocketGirlUltiProjectile",,"sc/effects_brawler.sc","sc3d/brock_004_atk_blue.scw","sc3d/brock_004_atk_red.scw","brock_004_ulti_tail","brock_004_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,93,,0,120,,"Brock_004_ulti_area",,,,"brock_004_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrickshotDudeProjectile",,3478,"sc/effects_brawler.sc",,,"rico_def_atk_bullet_blue","rico_def_atk_bullet_red","shadow_normal_circle",,,,,,"Trickshot_hit_env","Gen_hit","rico_def_atk_reached",101,,,,,0,3,0,130,,,,,,,"true",,"true",500,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"TrickshotDudeUltiProjectile",,4891,"sc/effects_brawler.sc",,,"rico_def_ulti_bullet_blue","rico_def_ulti_bullet_red","shadow_normal_circle",,,,,,"Trickshot_hit_env","Gen_hit","rico_def_ulti_reached",101,,,,,0,3,0,130,,,,,,"rico_ulti_trail_twinkles","true",,"true",500,,"true",,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Rico002Projectile","TrickshotDudeProjectile",,"sc/effects_brawler.sc",,,"rico_002_atk_bullet_blue","rico_002_atk_bullet_red","shadow_normal_circle",,,,,,"rico_002_hit_env","rico_002_hit_env","rico_002_atk_reached",,,,,,0,,0,130,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Rico002UltiProjectile","TrickshotDudeUltiProjectile",,"sc/effects_brawler.sc",,,"rico_002_ulti_bullet_blue","rico_002_ulti_bullet_red","shadow_normal_circle",,,,,,"rico_002_hit_env_ulti","rico_002_hit_env_ulti","rico_002_ulti_reached",,,,,,0,,0,130,,,,,,"rico_ulti_trail_twinkles","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Rico003Projectile","TrickshotDudeProjectile",,"sc/effects_brawler.sc",,,"rico_003_atk_bullet_blue","rico_003_atk_bullet_red","shadow_normal_circle",,,,,,"rico_002_hit_env","rico_002_hit_env","rico_003_atk_reached",,,,,,0,,0,130,,,,,,"rico_003_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Rico003UltiProjectile","TrickshotDudeUltiProjectile",,"sc/effects_brawler.sc",,,"rico_003_ulti_bullet_blue","rico_003_ulti_bullet_red","shadow_normal_circle",,,,,,"rico_002_hit_env_ulti","rico_002_hit_env_ulti","rico_003_ulti_reached",,,,,,0,,0,130,,,,,,"rico_003_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"CactusProjectile",,2174,"sc/effects_brawler.sc",,,"spike_def_atk1_projectie","spike_def_atk1_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,150,,,,,0,2,0,120,,"CactusExplosion","CactusSpikeExplosion",,,,"true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusUltiProjectile",,1739,"sc/effects_brawler.sc",,,"spike_def_ulti_projectile","spike_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,1,0,100,,"CactusUltiExplosion",,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusSpike",,3261,"sc/effects_brawler.sc",,,"spike_def_atk2_projectile","spike_def_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","spike_def_atk2_reached",50,,,,,0,1,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spike002Projectile","CactusProjectile",,"sc/effects_brawler.sc",,,"spike_002_atk1_projectile_blue","spike_002_atk1_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,0,,0,120,,"Spike_002_atk1_explosion","Spike_002_atk2",,,"spike_002_atk1_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spike002UltiProjectile","CactusUltiProjectile",,"sc/effects_brawler.sc",,,"spike_002_ulti_projectile_blue","spike_002_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,240,,0,100,,"Spike_002_ulti_explosion",,,,"spike_002_atk1_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spike002Spike","CactusSpike",,"sc/effects_brawler.sc",,,"spike_002_atk2_projectile","spike_002_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","spike_002_atk2_reached",,,,,,0,,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
