"Name","BehaviorType","CanMoveAtSameTime","Targeted","CanAutoShoot","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","MaxCastingRange","RechargeTime","MaxCharge","Damage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","Projectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","SpawnedItem","IconSWF","IconExportName","LargeIconSWF","LargeIconExportName","ButtonSWF","ButtonExportName","AttackEffect","UseEffect","EndEffect","LoopEffect","LoopEffect2","ChargeMoveSound","MultiShot","SkillCanChange","ShowTimerBar","SecondaryProjectile","ChargedShotCount","DamageModifier"
"string","String","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","boolean","int","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string","int","int"
"ShotgunGirlWeapon","Attack","true","true","true",250,150,,23,,,1500,3,300,100,60,,5,,"true",,,,,,,,,"ShotgunGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shelly_def_atk",,,,,,,,,,,
"ShotgunGirlUlti","Attack","true","true","true",250,150,,23,,,,,320,100,100,,9,,"true",,,,,,,,,"ShotgunGirlUltiProjectile",,,,,,"skillicon_megablast",,,"sc/ui.sc","rapid_fire_button","shelly_def_ulti",,,,,,,,,,,
"GunslingerWeapon","Attack","true","true","true",50,650,,27,,,1600,3,300,100,0,,1,"true","true",,,,,,,,,"GunslingerProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","colt_def_atk",,,,,,,,,,,
"GunslingerUlti","Attack","true","true","true",50,1250,,33,,,,,300,100,0,,1,"true","true",,,,,,,,,"GunslingerUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","colt_def_ulti","Dummy_effect",,,,,,,,,,
"BullDudeWeapon","Attack","true","true","true",250,150,,16,,,1600,3,400,100,90,,5,,"true",,,,,,,,,"BullDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","bull_def_atk",,,,,,,,,,,
"BullDudeUlti","Charge",,"true","true",50,,,33,,,,,800,,,,,,,130,1800,1,,,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"bull_dude_ulti",,"bull_dude_ulti_loop",,"Rhinostep",,,,,,
"RocketGirlWeapon","Attack","true","true","true",250,150,,30,,,2100,3,1100,100,,,1,,"true",,,,,,,,,"RocketGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","brock_def_atk",,,,,,,,,,,
"RocketGirlUlti","Attack","true","true","true",250,1850,,25,,,,,1040,200,210,,1,,"true",,,,,,,,,"RocketGirlUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","brock_def_ulti",,,,,,,,,,,
"TrickshotDudeWeapon","Attack","true","true","true",50,800,,29,,,1200,3,320,150,15,1,1,,"true",,,,,,,,,"TrickshotDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","rico_def_atk",,,,,,,,,,,
"TrickshotDudeUlti","Attack","true","true","true",50,1250,,40,,,,,320,100,20,1,1,,"true",,,,,,,,,"TrickshotDudeUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","rico_def_ulti",,,,,,,,,,,
"CactusWeapon","Attack","true","true","true",250,150,,23,,,2000,3,480,100,,,1,,"true",,,,,,,,,"CactusProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","cactus_attack",,,,,,,,,,,
"CactusUlti","Attack","true","true","true",250,150,,23,,,,,400,100,0,,1,,"true",,,,,,,,,"CactusUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","cactus_attack_ulti",,,,,,,,,,,
"BarkeepWeapon","Attack","true","true","true",250,150,,22,,,2000,3,680,100,0,,1,,"true",,,,,,,,,"BarkeepProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button","barkeep_attack",,,,,,,,,,,
"BarkeepUlti","Attack","true","true","true",250,1050,,28,,,,,680,200,100,,1,,"true",,,,,,,,,"BarkeepUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","barkeep_attack_ulti",,,,,,,,,,,
"MechanicWeapon","Attack","true","true","true",250,150,,27,,,1800,3,840,100,0,,1,,"true",,,,,,,,,"MechanicProjectile1",,,,,,,,,"sc/ui.sc","rapid_fire_button","mechanic_attack",,,,,,,,,,,
"MechanicUlti","Attack","true","true","true",50,250,,15,,,,,,200,,,1,,"true",,,,1,1,,,,"MechanicUltiProjectile","MechanicTurret",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","mechanic_ulti",,,,,,,,,,,
"ShamanWeapon","Attack","true","true","true",250,150,,18,,,1250,3,800,100,0,,1,,"true",,,,,,,,,"ShamanProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shaman_attack",,,,,,,,,,,
"ShamanUlti","Attack","true","true","true",50,250,,15,,,,,,200,,,1,,"true",,,,1,1,,,,"ShamanUltiProjectile","ShamanPet",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","shaman_ulti",,,,,,,,,,,
