"TID","CN"
"string","string"
"TID_UNDERDOG","迎难而上"
"TID_ACCESSORY","随身妙具"
"TID_BATTLE_END_COIN_SHOWER","堆金如山活动"
"TID_LFG_POPUP_TITLE_MEMBER","寻找队友"
"TID_LFG_POPUP_TITLE_TEAM","寻找小队"
"TID_LFG_POPUP_INFO_MEMBER","寻找队友与您并肩作战"
"TID_LFG_POPUP_INFO_TEAM","招募其他玩家加入您的小队"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","选择活动（点击更换）"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","选择活动（点击更换）"
"TID_LFG_POPUP_START_SEARCH","立即寻找"
"TID_LFG_NO_ROOM_FOR_PLAYERS","该模式无法支持更多玩家"
"TID_LOOKING_FOR_A_TEAM","正在寻找小队"
"TID_LOOKING_FOR_A_MEMBER","正在寻找队友"
"TID_BRAWLER_WIN_INFO","使用这名英雄获胜可额外获得<cff8E1b>胜利奖章</c>"
"TID_BRAWLER_WIN","使用<NAME>获胜"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","即将打响！"
"TID_CC_TEASER_INFO","做好准备，迎接荒野乱斗全球锦标赛<WIN>胜挑战！\n\n与好友组队，或使用\q寻找小队\q功能，让您更有机会脱颖而出。\n\n挑战仅持续<DURATION>小时，把握机会，立即加入对战吧！"
"TID_CC_POPUP_TITLE","全球锦标赛挑战"
"TID_CC_POPUP_1_TITLE","大巴黎杯挑战"
"TID_CC_POPUP_DESC","每次获胜都能赢取超赞奖励！获胜<WINS>场即可完成挑战。战败<LOSSES>场，淘汰出局！"
"TID_CC_POPUP_1_DESC","每次获胜都能赢取超赞奖励！获胜<WINS>场即可完成挑战。战败<LOSSES>场，淘汰出局！"
"TID_CC_POPUP_WINS","<WINS>/<MAX>次获胜"
"TID_CC_POPUP_WINS_FOR_EVENT","第<LEVEL>阶段"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","四分之一决赛"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","半决赛"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","决赛"
