"TID","DE"
"string","string"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","MÜNZREGEN-EREIGNIS"
"TID_LFG_POPUP_TITLE_MEMBER","MITGLIEDERSUCHE"
"TID_LFG_POPUP_TITLE_TEAM","TEAMSUCHE"
"TID_LFG_POPUP_INFO_MEMBER","Suche nach Spielern, die sich mit dir zusammentun wollen"
"TID_LFG_POPUP_INFO_TEAM","Suche nach einem Spieler für dein aktuelles Team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Ereigniskriterien (tippe zum Ändern)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Ich möchte spielen (tippe zum Ändern)"
"TID_LFG_POPUP_START_SEARCH","LOS!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Dieser Spielmodus unterstützt keine weiteren Spieler."
"TID_LOOKING_FOR_A_TEAM","SUCHT NACH TEAM"
"TID_LOOKING_FOR_A_MEMBER","SUCHT NACH MITGLIED"
"TID_BRAWLER_WIN_INFO","Gewinne mit diesem Brawler und du erhältst zusätzliche <cff8E1b>Starmarken</c>."
"TID_BRAWLER_WIN","Gewinne mit <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Demnächst!"
"TID_CC_TEASER_INFO","Mach dich bereit für die <WIN>-Siege-Championship-Herausforderung!\n\nSpiele mit Freunden im Team oder benutze die \qTeamsuche\q, um deine Chancen zu verbessern.\n\nVerliere keine Zeit! Die Herausforderung läuft nur <DURATION> Stunden!"
"TID_CC_POPUP_TITLE","CHAMPIONSHIP-HERAUSFORDERUNG"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Verdiene tolle Belohnungen für jeden Sieg! Mit <WINS> Siegen hast du die Herausforderung abgeschlossen. Wenn du <LOSSES>-mal verlierst, scheidest du aus!"
"TID_CC_POPUP_1_DESC","Verdiene tolle Belohnungen für jeden Sieg! Mit <WINS> Siegen hast du den Cup gewonnen. Wenn du <LOSSES>-mal verlierst, scheidest du aus!"
"TID_CC_POPUP_WINS","SIEGE: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","Phase <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","VIERTELFINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","HALBFINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALE"
"TID_CC_POPUP_QUALIFY_INFO","Schließe die Herausforderung ab, um dich für die nächste Phase der Brawl Stars World Championship zu qualifizieren!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Schließe die Herausforderung ab, um den PSG-Shelly-Skin zu gewinnen!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Herausforderung abgeschlossen!"
"TID_CC_POPUP_CHALLENGE_OVER","HERAUSFORDERUNG VORBEI"
"TID_CC_POPUP_OUT_OF_LIVES","KEINE VERSUCHE ÜBRIG"
"TID_CC_POPUP_COMPLETED","HERAUSFORDERUNG ABGESCHLOSSEN"
"TID_CC_POPUP_LEVEL","Phase <LEVEL>"
"TID_CC_POPUP_WIN","SIEG"
"TID_CC_POPUP_LOSSES","NIEDERLAGEN"
"TID_QUALIFIED_TITLE","Online-Qualifier FREIGESCHALTET!"
"TID_QUALIFIED_INFO","Wow, du hast die Championship-Herausforderung gemeistert! BEEINDRUCKEND!\n\nUm deinen Weg zur BRAWL STARS CHAMPIONSHIP fortzusetzen, gehe zu: <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Herzlichen Glückwunsch, du hast den PSG CUP gewonnen und den PSG-Shelly-Skin freigeschaltet!"
"TID_QUALIFIED_GO","LOS!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","CHAMPIONSHIP-HERAUSFORDERUNG"
"TID_BATTLE_END_CC_WIN_LABEL","BELOHNUNG FÜR SIEG NR. <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Herausforderung vorbei.\nMehr Glück beim nächsten Mal!"
"TID_BATTLE_END_CC_DEFEAT_1","Noch eine Niederlage und du scheidest aus. Gib alles!"
"TID_BATTLE_END_CC_DEFEAT_2","Du hast dieses Mal verloren, kannst aber noch weiterspielen!"
"TID_BATTLE_END_CC_DRAW_DESC","Spiel noch einmal und hol dir den Sieg!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","QUALIFIZIERT!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Herzlichen Glückwunsch! Du hast dich für die nächste Phase der Brawl Stars Championship qualifiziert.\nIn deinem Posteingang erfährst du mehr."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","POWERPLAY-Saisonbelohnung"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Belohnung abh.\nv. d. Punktzahl"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Rang"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Punkte"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Zusatzbelohnung fürs Erreichen\nder Spitze der globalen Bestenliste"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Saisonbelohnungen"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Bestenliste"
"TID_PRO_LEAGUE_SEASON_END_TIME","SAISON ENDET IN"
"TID_PRO_LEAGUE_POPUP_TITLE","POWERPLAY"
"TID_EVENT_LABEL_PRO_LEAGUE","POWERPLAY"
"TID_PRO_LEAGUE_POPUP_INFO","Stell dein Können im POWERPLAY-Modus auf die Probe. Nimm an drei täglichen Kämpfen teil, um in der saisonalen Bestenliste aufzusteigen. Am Ende der Saison bekommst du Starpunkte. Wie viele Starpunkte du bekommst, hängt von deinem Rang in der globalen Bestenliste und der Menge deiner gesammelten Punkte ab."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","AKTUELLE SAISON"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","VORHERIGE SAISON"
"TID_PRO_LEAGUE_LABEL","POWERPLAY"
"TID_TEAM_ERROR_38","Wähle einen Brawler mit Powerlevel 10 aus!"
"TID_TEAM_ERROR_39","Heute sind keine weiteren POWERPLAY-SPIELE verfügbar!"
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> SPIELE ÜBRIG"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","POWERPLAY-SAISON IST VORBEI"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Deine Punkte"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Dein Rang"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Starpunkte-Belohnung"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Ende der POWERPLAY-Saison: <AMOUNT> <cff00ff>Starpunkte</c> erhalten!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Epischer Sieg (+3 Punkte)"
"TID_OVERWHELMING_VICTORY_GMV_0","Gewinne, bevor das 15. Juwel erscheint."
"TID_OVERWHELMING_VICTORY_GMV_5","Gewinne 2:0."
"TID_OVERWHELMING_VICTORY_GMV_2","Gewinne mit mindestens 60 % Tresor-TP."
"TID_OVERWHELMING_VICTORY_GMV_11","Gewinne mit mindestens 80 % Basis-TP."
"TID_OVERWHELMING_VICTORY_GMV_3","Gewinne mit mindestens 10 Sternen Differenz."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Verdiene Punkte, abhängig von deiner Platzierung im Spiel."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Du bekommst 30 Punkte für einen Sieg, 15 für ein Unentschieden und einen Trostpreis von 5 Punkten für eine Niederlage."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUNKTE"
"TID_DOUBLE_TOKEN_WEEKEND","DOPPELMARKEN-EREIGNIS"
"TID_COIN_SHOWER_EVENT","MÜNZREGEN-EREIGNIS"
"TID_RANKS_ADDED_TITLE","Neue Brawlerränge"
"TID_RANKS_ADDED_DESC","Ab sofort gibt es 35 statt 20 Brawlerränge.\n\nDu hast <cff00ff><STARPOINTS></c> Starpunkte und <TOKENS> Marken für Brawler erhalten, die diese neuen Ränge erreicht haben."
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKINVORSCHAU"
"TID_DEFAULT_SKIN","STANDARDSKIN VON <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Münzen"
"TID_TOKENS","Marken"
"TID_FIRST_WINS","Starmarken"
"TID_BUTTON_INBOX","POSTEINGANG"
"TID_INBOX_TITLE","POSTEINGANG"
"TID_INBOX_SYSTEM_SENDER","System"
"TID_INBOX_SUPPORT_SENDER","Support"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","Vor <TIME>"
"TID_INBOX_CLAIM","EINFORDERN"
"TID_INBOX_VIEW","ANZEIGEN"
"TID_INBOX_TAB_0","CLUBPOST"
"TID_INBOX_TAB_1","PERSÖNLICH"
"TID_INBOX_NO_ENTRIES","KEINE EINTRÄGE"
"TID_INBOX_CAPTION_99","Saison ist zu Ende"
"TID_INBOX_CAPTION_94","Skinspende: <NAME>"
"TID_INBOX_CAPTION_93","Brawlerspende: <NAME>"
"TID_INBOX_CAPTION_92","Spende von <AMOUNT> Powerpunkt(en) für <NAME>"
"TID_INBOX_CAPTION_91","Spende von <AMOUNT> Ticket(s)"
"TID_INBOX_CAPTION_90","Spende von <NAME> (<AMOUNT>)"
"TID_INBOX_CAPTION_89","Spende von <AMOUNT> Juwel(en)"
"TID_INBOX_CAPTION_88","Spende von <AMOUNT> Markenverdoppler(n)"
"TID_INBOX_CAPTION_85","Widerruf von <AMOUNT> Juwel(en)"
"TID_INBOX_CAPTION_84_4","Starpowerspende (<ABI>) für <NAME>"
"TID_INBOX_CAPTION_84_5","Spende von Gadget (<ABI>) für <NAME>"
"TID_INBOX_CAPTION_78","Die Brawlerränge 21-30 sind da!"
"TID_INBOX_CAPTION_76","Online-Qualifier FREIGESCHALTET!"
"TID_INBOX_CAPTION_75","Siegesbelohnung für <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","NEU!"
"TID_BAND_MAIL_POPUP_TITLE","CLUBPOST"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Gib deine Nachricht hier ein ..."
"TID_BAND_MAIL_POPUP_POST","SENDEN"
"TID_BAND_MAIL_POPUP_NO_MSG","Denke daran, eine Nachricht einzugeben."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Diese Funktion steht Demo-Konten nicht zur Verfügung."
"TID_REVOKE_TITLE","Support-Nachricht"
"TID_REVOKE_OK","Alles klar!"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Beitrittsanfrage fehlgeschlagen. Du bist bereits in einem Team."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Teameinladung."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Senden der Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Beitrittsanfrage."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Beitrittsanfrage abgebrochen."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","ICH MÖCHTE DEINEM TEAM BEITRETEN"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>SIEG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>NIEDERLAGE</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>UNENTSCHIEDEN</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_AGE","Vor <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS."
"TID_BATTLE_LOG_TITLE","KAMPFLOG"
"TID_BATTLE_LOG_REPLAY","WIEDERH."
"TID_BATTLE_LOG_SURVIVED_FOR","<TIME> lang überlebt"
"TID_BATTLE_LOG_VICTORY_IN","Riesenbrawler in <TIME> besiegt"
"TID_BATTLE_LOG_MVP","STARSPIELER"
"TID_BATTLE_LOG_FRIENDLY","TESTSPIEL"
"TID_BATTLE_LOG_TOURNAMENT","TURNIER"
"TID_BATTLE_LOG_PVP","RANGLISTENSPIEL"
"TID_BATTLE_LOG_PRO_LEAGUE","POWERPLAY"
"TID_BATTLE_LOG_NO_ENTRIES","KEINE EINTRÄGE"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Dies ist ein Bot."
