"TID","ES"
"string","string"
"TID_UNDERDOG","EN DESVENTAJA"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","LLUVIA DE MONEDAS"
"TID_LFG_POPUP_TITLE_MEMBER","BUSCA A UN MIEMBRO"
"TID_LFG_POPUP_TITLE_TEAM","BUSCA UN EQUIPO"
"TID_LFG_POPUP_INFO_MEMBER","Busca a jugadores con los que formar un equipo."
"TID_LFG_POPUP_INFO_TEAM","Busca a jugadores para que se unan a tu equipo."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Normas del evento (toca para cambiar)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Quiero jugar a (toca para cambiar)"
"TID_LFG_POPUP_START_SEARCH","BUSCAR"
"TID_LFG_NO_ROOM_FOR_PLAYERS","No puede haber más jugadores en este modo de juego."
"TID_LOOKING_FOR_A_TEAM","BUSCANDO EQUIPO"
"TID_LOOKING_FOR_A_MEMBER","BUSCANDO A UN MIEMBRO"
"TID_BRAWLER_WIN_INFO","Gana con este brawler para ganar una <cff8E1b>ficha estelar</c> adicional."
"TID_BRAWLER_WIN","Gana con <NAME>."
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","¡Próximamente!"
"TID_CC_TEASER_INFO","¡Prepárate para el desafío de <WIN> victorias del campeonato!\n\n¡Juega con amigos o usa la opción \qBuscando equipo\q para tener más oportunidades!\n\nEl desafío solo durará <DURATION> horas, ¡así que aprovéchalo!"
"TID_CC_POPUP_TITLE","DESAFÍO DEL CAMPEONATO"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","¡Gana recompensas increíbles por cada victoria! El desafío se completa con <WINS> victorias. Si pierdes <LOSSES> veces, estarás fuera."
"TID_CC_POPUP_1_DESC","¡Gana recompensas increíbles por cada victoria! La copa se completa con <WINS> victorias. Si pierdes <LOSSES> veces, estarás fuera."
"TID_CC_POPUP_WINS","Victorias: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","FASE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","CUARTOS DE FINAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINALES"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALES"
"TID_CC_POPUP_QUALIFY_INFO","Completa el desafío para clasificarte para la próxima etapa del Brawl Stars Championship."
"TID_CC_POPUP_QUALIFY_INFO_PSG","¡Completa el desafío para ganar el aspecto de Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","¡Desafío completado!"
"TID_CC_POPUP_CHALLENGE_OVER","DESAFÍO NO DISPONIBLE"
"TID_CC_POPUP_OUT_OF_LIVES","INTENTOS AGOTADOS"
"TID_CC_POPUP_COMPLETED","DESAFÍO COMPLETADO"
"TID_CC_POPUP_LEVEL","FASE <LEVEL>"
"TID_CC_POPUP_WIN","VICTORIA"
"TID_CC_POPUP_LOSSES","DERROTAS"
"TID_QUALIFIED_TITLE","¡Clasificatorio en línea desbloqueado!"
"TID_QUALIFIED_INFO","¡Guau! Has completado el desafío del campeonato. ¡Enhorabuena!\n\nPara seguir avanzando camino al Brawl Stars Championship, visita <cFFE400><URL></c>."
"TID_QUALIFIED_INFO_PSG","¡Enhorabuena! Has ganado la PSG Cup. ¡Has desbloqueado el aspecto de Shelly PSG!"
"TID_QUALIFIED_GO","VISITAR"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","DESAFÍO DEL CAMPEONATO"
"TID_BATTLE_END_CC_WIN_LABEL","RECOMPENSA POR LA VICTORIA N.º <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Ya no puedes participar en este desafío.\n¡En otra ocasión será!"
"TID_BATTLE_END_CC_DEFEAT_1","Con otra derrota, estarás fuera. ¡No te rindas!"
"TID_BATTLE_END_CC_DEFEAT_2","Has perdido ¡pero puedes continuar!"
"TID_BATTLE_END_CC_DRAW_DESC","¡Vuelve a jugar para ganar!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","¡CLASIFICADO!"
"TID_BATTLE_END_CC_QUALIFY_INFO","¡Enhorabuena! Te has clasificado a la siguiente etapa del Brawl Stars Championship.\nHay más información en el buzón."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Recompensas de final de temporada de Lucha estelar"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Recompensa\nsegún tus puntos finales"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Clasificación"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Puntos"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Recompensa adicional por alcanzar\nla cima de la clasificación mundial"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Recompensas de final de temporada"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Clasificaciones"
"TID_PRO_LEAGUE_SEASON_END_TIME","FIN DE TEMPORADA:"
"TID_PRO_LEAGUE_POPUP_TITLE","LUCHA ESTELAR"
"TID_EVENT_LABEL_PRO_LEAGUE","LUCHA ESTELAR"
"TID_PRO_LEAGUE_POPUP_INFO","¡Juega a Lucha estelar para poner a prueba tu destreza! Disputa tres partidas diarias para alcanzar la cima de la clasificación de la temporada. Cuando la temporada termine, recibirás puntos estelares según los puntos que hayas acumulado y tu puesto en la clasificación mundial."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","TEMPORADA ACTUAL"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","TEMPORADA ANTERIOR"
