"TID","ID"
"string","string"
"TID_UNDERDOG","KUDA HITAM"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","ACARA HUJAN KOIN"
"TID_LFG_POPUP_TITLE_MEMBER","CARI ANGGOTA"
"TID_LFG_POPUP_TITLE_TEAM","CARI TIM"
"TID_LFG_POPUP_INFO_MEMBER","Cari pemain untuk bermain bersama dalam satu tim"
"TID_LFG_POPUP_INFO_TEAM","Cari pemain untuk bergabung ke timmu saat ini"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Kriteria acara (ketuk untuk mengubah)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Aku ingin bermain (ketuk untuk mengubah)"
"TID_LFG_POPUP_START_SEARCH","AYO!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Mode laga ini tidak mendukung lebih banyak pemain"
"TID_LOOKING_FOR_A_TEAM","MENCARI TIM"
"TID_LOOKING_FOR_A_MEMBER","MENCARI ANGGOTA"
"TID_BRAWLER_WIN_INFO","Raih kemenangan dengan Jagoan ini dan dapatkan <cff8E1b>Token Bintang</c> ekstra"
"TID_BRAWLER_WIN","Raih kemenangan dengan <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Segera Hadir!"
"TID_CC_TEASER_INFO","Bersiaplah untuk Tantangan Kejuaraan <WIN> kemenangan!\n\nMain dengan teman atau gunakan fitur \qMencari Tim\q untuk meningkatkan peluang menang.\n\nTantangan hanya akan berlangsung selama <DURATION> jam, jadi jangan sampai ketinggalan!"
"TID_CC_POPUP_TITLE","TANTANGAN KEJUARAAN"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Raih hadiah keren di setiap kemenangan! Raih <WINS> kemenangan untuk menyelesaikan Tantangan. Kamu akan gugur setelah kalah <LOSSES> kali. Berhati-hatilah!"
"TID_CC_POPUP_1_DESC","Raih hadiah keren setiap kali menang! Kamu harus menang <WINS> kali untuk memenangkan Piala. Kamu harus berhati-hati karena kamu akan gugur setelah <LOSSES> kali kalah!"
"TID_CC_POPUP_WINS","<WINS>/<MAX>x MENANG"
"TID_CC_POPUP_WINS_FOR_EVENT","BABAK <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","PEREMPAT FINAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINAL"
"TID_CC_POPUP_QUALIFY_INFO","Selesaikan tantangan untuk bisa lolos ke babak selanjutnya di Kejuaraan Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Selesaikan tantangan untuk meraih Kostum Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Tantangan selesai!"
