"TID","IT"
"string","string"
"TID_UNDERDOG","SFAVORITO"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","EVENTO \qPIOGGIA DI MONETE\q"
"TID_LFG_POPUP_TITLE_MEMBER","TROVA UN MEMBRO"
"TID_LFG_POPUP_TITLE_TEAM","TROVA UNA SQUADRA"
"TID_LFG_POPUP_INFO_MEMBER","Cerca dei giocatori da mettere in squadra."
"TID_LFG_POPUP_INFO_TEAM","Cerca un giocatore da mettere in squadra."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Criteri dell'evento (tocca per cambiare):"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Voglio giocare a (tocca per cambiare):"
"TID_LFG_POPUP_START_SEARCH","VAI"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Non possono partecipare altri giocatori a questo evento."
"TID_LOOKING_FOR_A_TEAM","IN CERCA DI UNA SQUADRA"
"TID_LOOKING_FOR_A_MEMBER","IN CERCA DI UN MEMBRO"
"TID_BRAWLER_WIN_INFO","Vinci scontri con questo brawler per ottenere un <cff8E1b>gettone stella</c> bonus."
"TID_BRAWLER_WIN","Vinci con <NAME>."
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Prossimamente!"
"TID_CC_TEASER_INFO","Pensi di avere la stoffa per vincere <WIN> volte nella sfida del torneo?\n\nGioca con gli amici o usa la funzione \qTrova una squadra\q per aumentare le tue possibilità.\n\nLa sfida sarà attiva solo per <DURATION> ore, quindi non perdertela!"
"TID_CC_POPUP_TITLE","SFIDA DEL TORNEO"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Ricevi premi favolosi con ogni vittoria! Te ne servono <WINS> per superare la sfida, ma ricorda che con <LOSSES> sconfitte sei fuori!"
"TID_CC_POPUP_1_DESC","Ricevi premi favolosi con ogni vittoria! Servono <WINS> vittorie per superare la sfida, ma ricorda che con <LOSSES> sconfitte sei fuori!"
"TID_CC_POPUP_WINS","VITTORIE: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","LIVELLO <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","QUARTI DI FINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINALI"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALI"
"TID_CC_POPUP_QUALIFY_INFO","Supera la sfida per qualificarti al prossimo turno del torneo di Brawl Stars."
"TID_CC_POPUP_QUALIFY_INFO_PSG","Supera la sfida per vincere la skin \qShelly PSG\q!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Sfida superata!"
"TID_CC_POPUP_CHALLENGE_OVER","FINE DELLA SFIDA"
"TID_CC_POPUP_OUT_OF_LIVES","TENTATIVI ESAURITI"
"TID_CC_POPUP_COMPLETED","SFIDA COMPLETATA"
"TID_CC_POPUP_LEVEL","LIVELLO <LEVEL>"
"TID_CC_POPUP_WIN","VITTORIA"
"TID_CC_POPUP_LOSSES","SCONFITTE"
"TID_QUALIFIED_TITLE","Eliminatorie online SBLOCCATE"
"TID_QUALIFIED_INFO","Hai superato la sfida del torneo, ben fatto!\n\nPer partecipare ai turni successivi del TORNEO DI BRAWL STARS, vai su <cFFE400><URL></c>."
"TID_QUALIFIED_INFO_PSG","Congratulazioni, hai vinto la PSG CUP e sbloccato la skin \qShelly PSG\q!"
