"TID","NL"
"string","string"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","MUNTENREGEN-\nEVENEMENT"
"TID_LFG_POPUP_TITLE_MEMBER","EEN LID ZOEKEN"
"TID_LFG_POPUP_TITLE_TEAM","EEN TEAM ZOEKEN"
"TID_LFG_POPUP_INFO_MEMBER","Zoek spelers die met jou een team willen vormen"
"TID_LFG_POPUP_INFO_TEAM","Zoek een speler die zich wil aansluiten bij je huidige team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Gekozen evenement (tik om te wijzigen)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Ik wil dit spelen (tik om te wijzigen)"
"TID_LFG_POPUP_START_SEARCH","OKÉ!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Er kunnen geen andere spelers meer deelnemen aan deze spelmodus."
"TID_LOOKING_FOR_A_TEAM","OP ZOEK NAAR EEN TEAM"
"TID_LOOKING_FOR_A_MEMBER","OP ZOEK NAAR EEN LID"
"TID_BRAWLER_WIN_INFO","Win met deze knokker om extra <cff8E1b>stertokens</c> te verdienen."
"TID_BRAWLER_WIN","Win met <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Begint binnenkort!"
"TID_CC_TEASER_INFO","Bereid je voor op de kampioenschapsuitdaging met <WIN> overwinningen!\n\nSpeel met vrienden of gebruik de functie 'Een team zoeken' om je kansen te verhogen.\n\nDe uitdaging duurt maar <DURATION> uur, dus maak er het beste van!"
"TID_CC_POPUP_TITLE","KAMPIOENSCHAPSUITDAGING"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Verdien geweldige beloningen met elke overwinning! Je moet <WINS> keer winnen om de uitdaging te voltooien, maar je ligt eruit na <LOSSES> nederlagen!"
"TID_CC_POPUP_1_DESC","Verdien geweldige beloningen met elke overwinning! Je moet <WINS> keer winnen om het toernooi te winnen, maar je ligt eruit na <LOSSES> nederlagen!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> OVERWINNINGEN"
"TID_CC_POPUP_WINS_FOR_EVENT","FASE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","KWARTFINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","HALVE FINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALE"
"TID_CC_POPUP_QUALIFY_INFO","Voltooi de uitdaging om je te kwalificeren voor de volgende fase van het Brawl Stars-kampioenschap!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Voltooi de uitdaging om de PSG-skin voor Shelly te winnen!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Uitdaging voltooid!"
"TID_CC_POPUP_CHALLENGE_OVER","UITDAGING AFGELOPEN"
"TID_CC_POPUP_OUT_OF_LIVES","GEEN POGINGEN MEER OVER"
"TID_CC_POPUP_COMPLETED","UITDAGING VOLTOOID"
"TID_CC_POPUP_LEVEL","FASE <LEVEL>"
"TID_CC_POPUP_WIN","OVERWINNING"
"TID_CC_POPUP_LOSSES","VERLIEZEN"
"TID_QUALIFIED_TITLE","Online kwalificatieronde ONTGRENDELD"
"TID_QUALIFIED_INFO","Wauw, je hebt de kampioenschapsuitdaging voltooid! GEWELDIG!\n\nGa naar <cFFE400><URL></c> om je weg naar het Brawl Stars-kampioenschap voort te zetten."
"TID_QUALIFIED_INFO_PSG","Gefeliciteerd, je hebt de PSG CUP gewonnen! Veel plezier met je PSG-skin voor Shelly!"
"TID_QUALIFIED_GO","GAAN!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","KAMPIOENSCHAPSUITDAGING"
"TID_BATTLE_END_CC_WIN_LABEL","BELONING VOOR OVERWINNING #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","De uitdaging is afgelopen.\nVolgende keer beter!"
"TID_BATTLE_END_CC_DEFEAT_1","Als je nog één keer verliest, lig je eruit. Blijf vechten!"
"TID_BATTLE_END_CC_DEFEAT_2","Je hebt deze keer verloren, maar je kan nog verdergaan!"
"TID_BATTLE_END_CC_DRAW_DESC","Speel opnieuw om te winnen!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","GEKWALIFICEERD!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Gefeliciteerd! Je hebt je gekwalificeerd voor de volgende fase van het Brawl Stars-kampioenschap.\nGa naar je postvak In voor meer informatie."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","KRACHTSPEL: seizoenseindebeloningen"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Beloning op basis van\nje uiteindelijke punten"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Positie"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Punten"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Extra beloning voor het bereiken\nvan de top van het wereldwijde klassement"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Seizoenseindebeloningen"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Klassementen"
"TID_PRO_LEAGUE_SEASON_END_TIME","SEIZOEN EINDIGT OVER"
"TID_PRO_LEAGUE_POPUP_TITLE","KRACHTSPEL"
"TID_EVENT_LABEL_PRO_LEAGUE","KRACHT-\nSPEL"
"TID_PRO_LEAGUE_POPUP_INFO","Stel je vaardigheden op de proef met KRACHTSPEL! Neem elke dag deel aan drie gevechten om te stijgen in het seizoensklassement. Wanneer het seizoen afgelopen is, krijg je sterpunten op basis van je punten en je positie in het wereldwijde klassement."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","HUIDIGE SEIZOEN"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","VORIGE SEIZOEN"
"TID_PRO_LEAGUE_LABEL","KRACHTSPEL"
"TID_TEAM_ERROR_38","Kies een knokker met krachtlevel 10."
"TID_TEAM_ERROR_39","Er zijn vandaag geen KRACHTSPELLEN meer over."
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> GEVECHTEN OVER"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","KRACHTSPEL-SEIZOEN AFGELOPEN"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Jouw punten"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Jouw positie"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Sterpuntbeloning"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Seizoenseinde van KRACHTSPEL: <AMOUNT> <cff00ff>sterpunten</c> verdiend!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Epische overwinning (+ 3 punten):"
"TID_OVERWHELMING_VICTORY_GMV_0","Win voordat de 15e edelsteen verschijnt."
"TID_OVERWHELMING_VICTORY_GMV_5","Win met 2-0."
"TID_OVERWHELMING_VICTORY_GMV_2","Win terwijl de gezondheid van je kluis nog minstens 60% bedraagt."
"TID_OVERWHELMING_VICTORY_GMV_11","Win terwijl de gezondheid van je basis nog minstens 80% bedraagt."
"TID_OVERWHELMING_VICTORY_GMV_3","Win met minstens 10 meer sterren dan de vijand."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Verdien punten op basis van je positie in het gevecht."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Krijg 30 punten bij een overwinning, 15 punten bij een gelijkspel en een troostprijs van 5 punten bij een nederlaag."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUNTEN"
"TID_DOUBLE_TOKEN_WEEKEND","DUBBELTOKENEVENEMENT"
"TID_COIN_SHOWER_EVENT","MUNTENREGENEVENEMENT"
"TID_RANKS_ADDED_TITLE","Nieuwe rangen voor knokkers"
"TID_RANKS_ADDED_DESC","De maximale rang die knokkers kunnen bereiken is verhoogd van rang 20 naar rang 35.\n\nJe hebt <cff00ff><STARPOINTS></c> sterpunten en <TOKENS> tokens verzameld van knokkers die deze nieuwe rangen hebben bereikt."
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKINPREVIEW"
"TID_DEFAULT_SKIN","STANDAARDSKIN VAN <HERO>"
"TID_HERO_LVL_UP_MATERIAL","munten"
"TID_TOKENS","tokens"
"TID_FIRST_WINS","stertokens"
"TID_BUTTON_INBOX","POSTVAK IN"
"TID_INBOX_TITLE","POSTVAK IN"
"TID_INBOX_SYSTEM_SENDER","Systeem"
"TID_INBOX_SUPPORT_SENDER","Spelersondersteuning"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> geleden"
"TID_INBOX_CLAIM","OPHALEN"
"TID_INBOX_VIEW","BEKIJKEN"
"TID_INBOX_TAB_0","CLUBMAIL"
"TID_INBOX_TAB_1","PERSOONLIJK"
"TID_INBOX_NO_ENTRIES","GEEN GEGEVENS"
"TID_INBOX_CAPTION_99","Seizoen afgelopen"
"TID_INBOX_CAPTION_94","Skindonatie: <NAME>"
"TID_INBOX_CAPTION_93","Knokkerdonatie: <NAME>"
"TID_INBOX_CAPTION_92","Donatie van <AMOUNT> krachtpunten voor <NAME>"
"TID_INBOX_CAPTION_91","Donatie van <AMOUNT> tickets"
"TID_INBOX_CAPTION_90","Donatie van <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donatie van <AMOUNT> edelstenen"
"TID_INBOX_CAPTION_88","Donatie van <AMOUNT> tokenverdubbelaars"
"TID_INBOX_CAPTION_85","Herroeping van <AMOUNT> edelstenen"
"TID_INBOX_CAPTION_84_4","Donatie van sterrenkracht <ABI> voor <NAME>"
"TID_INBOX_CAPTION_84_5","Donatie van gadget <ABI> voor <NAME>"
"TID_INBOX_CAPTION_78","Knokkerrangen 21-30 zijn gearriveerd!"
"TID_INBOX_CAPTION_76","Online kwalificatieronde ONTGRENDELD!"
"TID_INBOX_CAPTION_75","Overwinningsbeloning voor <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","NIEUW!"
"TID_BAND_MAIL_POPUP_TITLE","CLUBMAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","schrijf je boodschap hier..."
"TID_BAND_MAIL_POPUP_POST","PLAATSEN"
"TID_BAND_MAIL_POPUP_NO_MSG","Vergeet niet een boodschap te schrijven"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Deze functie is niet beschikbaar voor demo-accounts."
"TID_REVOKE_TITLE","Bericht van de ondersteuning"
"TID_REVOKE_OK","Oké"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Kan het deelnameverzoek niet verzenden. Je zit al in een team."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Kan het deelnameverzoek niet verzenden. Je hebt al een teamuitnodiging in behandeling."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Kan het deelnameverzoek niet verzenden. Je hebt al een deelnameverzoek in behandeling."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Deelnameverzoek geannuleerd."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","IK WIL ME BIJ JE TEAM AANSLUITEN"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>OVERWINNING</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>NEDERLAAG</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>GELIJKSPEL</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANG <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> geleden"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","GEVECHTSLOG"
"TID_BATTLE_LOG_REPLAY","HERHALING"
"TID_BATTLE_LOG_SURVIVED_FOR","Overleefd gedurende <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Megaknokker verslagen in <TIME>."
"TID_BATTLE_LOG_MVP","STERSPELER"
"TID_BATTLE_LOG_FRIENDLY","VRIENDSCHAPPELIJK"
"TID_BATTLE_LOG_TOURNAMENT","TOERNOOI"
"TID_BATTLE_LOG_PVP","KLASSEMENT"
"TID_BATTLE_LOG_PRO_LEAGUE","KRACHTSPEL"
"TID_BATTLE_LOG_NO_ENTRIES","GEEN GEGEVENS"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Dit is een bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Herhalingen uitgeschakeld"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Nog geen herhaling beschikbaar"
