"TID","PT"
"string","string"
"TID_UNDERDOG","AZARÃO"
"TID_ACCESSORY","ACESSÓRIO"
"TID_BATTLE_END_COIN_SHOWER","EVENTO CHUVA DE MOEDAS"
"TID_LFG_POPUP_TITLE_MEMBER","PROCURAR UM INTEGRANTE"
"TID_LFG_POPUP_TITLE_TEAM","PROCURAR UMA EQUIPE"
"TID_LFG_POPUP_INFO_MEMBER","Procure jogadores para formar uma equipe."
"TID_LFG_POPUP_INFO_TEAM","Procure um jogador para entrar na sua equipe atual."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Critérios do evento (toque para escolher)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Quero jogar (toque para escolher)"
"TID_LFG_POPUP_START_SEARCH","IR!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Este modo não permite um número maior de jogadores."
"TID_LOOKING_FOR_A_TEAM","PROCURANDO UMA EQUIPE"
"TID_LOOKING_FOR_A_MEMBER","PROCURANDO UM INTEGRANTE"
"TID_BRAWLER_WIN_INFO","Vença com este Brawler para ganhar uma <cff8E1b>ficha estrela</c> a mais."
"TID_BRAWLER_WIN","Vencer com <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Em breve!"
"TID_CC_TEASER_INFO","Prepare-se para o desafio do campeonato de <WIN> vitórias!\n\nJogue com amigos ou use a opção \qProcurando uma equipe\q para aumentar suas chances.\n\nO desafio estará disponível por apenas <DURATION> horas, então não marque bobeira!"
"TID_CC_POPUP_TITLE","DESAFIO DO CAMPEONATO"
"TID_CC_POPUP_1_TITLE","COPA PSG"
"TID_CC_POPUP_DESC","Ganhe recompensas incríveis a cada vitória! Você vence o desafio com <WINS> vitórias, mas se perder <LOSSES> vezes, está fora!"
"TID_CC_POPUP_1_DESC","Ganhe recompensas incríveis a cada vitória! Você vence a Copa com <WINS> vitórias, mas se perder <LOSSES> vezes, está fora!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> VITÓRIAS"
"TID_CC_POPUP_WINS_FOR_EVENT","FASE <LEVEL>"
