"TID","RU"
"string","string"
"TID_UNDERDOG","АУТСАЙДЕР"
"TID_ACCESSORY","ГАДЖЕТ"
"TID_BATTLE_END_COIN_SHOWER","СОБЫТИЕ С ЛАВИНОЙ МОНЕТ"
"TID_LFG_POPUP_TITLE_MEMBER","ИСКАТЬ УЧАСТНИКА"
"TID_LFG_POPUP_TITLE_TEAM","ИСКАТЬ КОМАНДУ"
"TID_LFG_POPUP_INFO_MEMBER","Искать игроков для новой команды"
"TID_LFG_POPUP_INFO_TEAM","Искать игрока для этой команды"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Условия участия (нажми, чтобы изменить)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Хочу играть (нажми, чтобы изменить)"
"TID_LFG_POPUP_START_SEARCH","ВПЕРЁД!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","В этом игровом режиме не может участвовать больше игроков."
"TID_LOOKING_FOR_A_TEAM","В ПОИСКЕ КОМАНДЫ"
"TID_LOOKING_FOR_A_MEMBER","В ПОИСКЕ УЧАСТНИКА"
"TID_BRAWLER_WIN_INFO","Победи с этим бойцом и получи дополнительный <cff8E1b>звёздный жетон.</c>"
"TID_BRAWLER_WIN","Победи с бойцом <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Уже скоро!"
"TID_CC_TEASER_INFO","Готовься к испытанию чемпионата с <WIN> победами!\n\nИграй с друзьями или используй функцию поиска команды, чтобы повысить свои шансы на успех.\n\nИ помни, испытание продлится всего <DURATION> ч.!"
"TID_CC_POPUP_TITLE","ИСПЫТАНИЕ ЧЕМПИОНАТА"
"TID_CC_POPUP_1_TITLE","КУБОК PSG"
"TID_CC_POPUP_DESC","Невероятные награды за каждую победу! Чтобы пройти испытание, нужно победить <WINS> р., но после <LOSSES> поражений ты выбываешь!"
"TID_CC_POPUP_1_DESC","Невероятные награды за каждую победу! Чтобы выиграть Кубок PSG, нужно победить <WINS> р., но после <LOSSES> поражений ты выбываешь!"
"TID_CC_POPUP_WINS","<WINS> из <MAX> ПОБЕД"
"TID_CC_POPUP_WINS_FOR_EVENT","<LEVEL>-Й ЭТАП"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ЧЕТВЕРТЬФИНАЛЫ"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","ПОЛУФИНАЛЫ"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","ФИНАЛ"
"TID_CC_POPUP_QUALIFY_INFO","Пройди испытание, чтобы перейти на следующий этап чемпионата Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Выиграй испытание, чтобы получить скин Шелли PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Испытание пройдено!"
"TID_CC_POPUP_CHALLENGE_OVER","ИСПЫТАНИЕ ЗАКОНЧЕНО"
"TID_CC_POPUP_OUT_OF_LIVES","ПОПЫТОК НЕ ОСТАЛОСЬ"
"TID_CC_POPUP_COMPLETED","ИСПЫТАНИЕ ПРОЙДЕНО"
"TID_CC_POPUP_LEVEL","<LEVEL>-Й ЭТАП"
"TID_CC_POPUP_WIN","ПОБЕДА"
"TID_CC_POPUP_LOSSES","ПОРАЖЕНИЯ"
"TID_QUALIFIED_TITLE","Онлайн-этап РАЗБЛОКИРОВАН!"
"TID_QUALIFIED_INFO","Ого, тебе удалось пройти испытание чемпионата! НЕВЕРОЯТНО!\n\nЧтобы продолжить путь к ЧЕМПИОНАТУ BRAWL STARS, перейди по ссылке <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Поздравляем с победой в Кубке PSG! Открыт скин Шелли PSG."
"TID_QUALIFIED_GO","ВПЕРЁД!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","ИСПЫТАНИЕ ЧЕМПИОНАТА"
"TID_BATTLE_END_CC_WIN_LABEL","НАГРАДА ЗА <AMOUNT>-Ю ПОБЕДУ"
"TID_BATTLE_END_CC_DEFEAT_0","Испытание закончено.\nУдачи в следующий раз!"
"TID_BATTLE_END_CC_DEFEAT_1","Ещё одно поражение, и ты выбываешь. Соберись!"
"TID_BATTLE_END_CC_DEFEAT_2","Поражение... Но у тебя ещё есть шанс!"
"TID_BATTLE_END_CC_DRAW_DESC","Сыграй ещё раз и постарайся победить!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","ЭТАП ПРОЙДЕН!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Поздравляем! Ты переходишь на следующий этап чемпионата Brawl Stars.\nДополнительная информация во входящих."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Награда конца сезона СИЛОВОЙ ГОНКИ"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Награда\nза очки"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Место"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Очки"
