"TID","TR"
"string","string"
"TID_UNDERDOG","DEZAVANTAJLI"
"TID_ACCESSORY","AKSESUAR"
"TID_BATTLE_END_COIN_SHOWER","ALTIN YAĞMURU ETKİNLİĞİ"
"TID_LFG_POPUP_TITLE_MEMBER","ÜYE ARA"
"TID_LFG_POPUP_TITLE_TEAM","TAKIM ARA"
"TID_LFG_POPUP_INFO_MEMBER","Birlikte takım kurabileceğin oyuncular bulur."
"TID_LFG_POPUP_INFO_TEAM","Takımına katılacak bir oyuncu bulur."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Etkinlik kriterleri (değiştirmek için dokun)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Oynamak istiyorum (değiştirmek için dokun)"
"TID_LFG_POPUP_START_SEARCH","BAŞLA!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Bu oyun modunda daha fazla oyuncu desteklenmiyor."
"TID_LOOKING_FOR_A_TEAM","TAKIM ARANIYOR"
"TID_LOOKING_FOR_A_MEMBER","ÜYE ARANIYOR"
"TID_BRAWLER_WIN_INFO","Bu savaşçı ile maç kazanırsan ekstra <cff8E1b>yıldız jetonu</c> alırsın."
"TID_BRAWLER_WIN","<NAME> ile maç kazan."
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Yakında!"
"TID_CC_TEASER_INFO","<WIN> zaferlik şampiyonluk mücadelesine hazır ol!\n\nArkadaşlarınla oynayabilir veya şansını artırmak için \qTakım Arıyorum\q özelliğini kullanabilirsin.\n\nBu mücadele yalnızca <DURATION> saat sürecek, fırsatı kaçırma!"
"TID_CC_POPUP_TITLE","ŞAMPİYONLUK MÜCADELESİ"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Her zafer harika ödüller kazandırıyor! Mücadeleyi tamamlamak için <WINS> zafer kazanman gerekir ama <LOSSES> yenilgide oyun dışı kalırsın!"
