"TID","VI"
"string","string"
"TID_UNDERDOG","YẾU THẾ"
"TID_ACCESSORY","PHỤ KIỆN"
"TID_BATTLE_END_COIN_SHOWER","SỰ KIỆN CƠN MƯA XU"
"TID_LFG_POPUP_TITLE_MEMBER","TÌM THÀNH VIÊN"
"TID_LFG_POPUP_TITLE_TEAM","TÌM ĐỘI"
"TID_LFG_POPUP_INFO_MEMBER","Tìm thêm người để chơi cùng bạn"
"TID_LFG_POPUP_INFO_TEAM","Tìm thêm người cho đội hiện tại của bạn"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Chỉ tiêu sự kiện (nhấn để thay đổi)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Tôi muốn chơi (nhấn để thay đổi)"
"TID_LFG_POPUP_START_SEARCH","TÌM!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Chế độ này không hỗ trợ thêm người chơi nữa"
"TID_LOOKING_FOR_A_TEAM","ĐANG TÌM ĐỘI"
"TID_LOOKING_FOR_A_MEMBER","ĐANG TÌM THÀNH VIÊN"
"TID_BRAWLER_WIN_INFO","Thắng trận khi dùng Chiến binh Brawl này để nhận thêm <cff8E1b>Thẻ sao</c>"
"TID_BRAWLER_WIN","Thắng khi dùng <NAME>"
"TID_BRAWLER_WIN_EXPIRES_IN","<TIME>"
"TID_CC_TEASER_TITLE","Sắp ra mắt!"
"TID_CC_TEASER_INFO","Hãy chuẩn bị sẵn sàng và giành <WIN> trận thắng trong Thử thách Giải đấu Quán quân!\n\nChơi với bạn bè hoặc dùng tính năng \qTìm Đội\q để tăng cơ hội chiến thắng.\n\nThử thách này sẽ diễn ra trực tiếp chỉ trong <DURATION> giờ mà thôi, nên hãy tận dụng nó thật tốt nhé!"
"TID_CC_POPUP_TITLE","THỬ THÁCH GIẢI ĐẤU QUÁN QUÂN"
"TID_CC_POPUP_1_TITLE","CUP PSG"
"TID_CC_POPUP_DESC","Nhận phần thưởng lớn với mỗi trận thắng! Cần <WINS> trận thắng để hoàn tất Thử thách, nhưng bạn sẽ bị loại nếu thua <LOSSES> trận!"
"TID_CC_POPUP_1_DESC","Nhận phần thưởng lớn với mỗi trận thắng! Cần <WINS> trận thắng để đoạt được Cúp, nhưng bạn sẽ bị loại nếu thua <LOSSES> trận!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> TRẬN THẮNG"
"TID_CC_POPUP_WINS_FOR_EVENT","VÒNG <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","TỨ KẾT"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","BÁN KẾT"
