"Name","TID","Type","Disabled","ExistsApple","ExistsAndroid","Diamonds","USD","Order","IconExportName","FrameNumber","StarterPackNumber","BigBoxCount","XpLevelReq","ValueFactor","LabelTID","LabelValue","Bg","Decor","IsPromotion","Coins","RefundGemValue","BrawlPassSeason"
"String","String","int","boolean","boolean","boolean","int","int","int","string","int","int","int","int","int","String","int","int","int","boolean","int","int","int"
"com.supercell.laser.gempack0","TID_SHOP_GEM_PACK_1_TITLE",1,,"TRUE","TRUE",30,199,1,"shop_gem_0",0,,,,,,,,,,,30,
"com.supercell.laser.gempack1","TID_SHOP_GEM_PACK_2_TITLE",1,,"TRUE","TRUE",80,499,2,"shop_gem_1",1,,,,,,,,,,,80,
"com.supercell.laser.gempack2","TID_SHOP_GEM_PACK_3_TITLE",1,,"TRUE","TRUE",170,999,3,"shop_gem_2",2,,,,,"TID_SHOP_LABEL_POPULAR",,,,,,170,
"com.supercell.laser.gempack3","TID_SHOP_GEM_PACK_4_TITLE",1,,"TRUE","TRUE",360,1999,4,"shop_gem_3",3,,,,,,,,,,,360,
"com.supercell.laser.gempack4","TID_SHOP_GEM_PACK_5_TITLE",1,,"TRUE","TRUE",950,4999,5,"shop_gem_4",4,,,,,,,,,,,950,
"com.supercell.laser.gempack5","TID_SHOP_GEM_PACK_6_TITLE",1,,"TRUE","TRUE",2000,9999,6,"shop_gem_5",5,,,,,"TID_SHOP_LABEL_BEST_VALUE",,,,,,2000,
"com.supercell.laser.starterpack1","TID_STARTER_PACK_1",2,,"TRUE","TRUE",30,299,0,,,1,1,5,4,,,1,0,,600,181,
"com.supercell.laser.starterpack2","TID_STARTER_PACK_2",2,,"TRUE","TRUE",30,399,0,,,2,2,15,4,,,1,0,,450,243,
"com.supercell.laser.starterpack3","TID_STARTER_PACK_3",2,,"TRUE","TRUE",80,499,0,,,3,2,25,4,,,1,0,,700,322,
"com.supercell.laser.starterpack4","TID_STARTER_PACK_4",2,,"TRUE","TRUE",80,599,0,,,4,3,35,4,,,1,0,,700,402,
"com.supercell.laser.xmas2018pack","TID_IAP_XMAS2018_PACK",3,"TRUE","FALSE","FALSE",170,499,9,,,,2,,4,,,3,1,,,330,
"com.supercell.laser.starterpackx","TID_STARTER_PACK_0",2,,"FALSE","FALSE",170,499,0,,,0,2,0,4,,,1,3,,,330,
"com.supercell.laser.starterpack5","TID_STARTER_PACK_5",2,,"TRUE","TRUE",100,699,0,,,5,3,50,4,,,1,0,,900,446,
"com.supercell.laser.starterpack6","TID_STARTER_PACK_6",2,,"TRUE","TRUE",100,799,0,,,6,4,75,4,,,1,0,,900,526,
"com.supercell.laser.starterpack7","TID_STARTER_PACK_7",2,,"TRUE","TRUE",150,899,0,,,7,3,100,4,,,1,0,,2000,625,
"com.supercell.laser.lny2019pack","TID_IAP_LNY2019_PACK",3,"TRUE","FALSE","FALSE",170,999,9,,,,2,,3,,,3,2,,1500,506,
"com.supercell.laser.march2019pack","TID_IAP_REFRESHER_PACK",3,"TRUE","FALSE","FALSE",111,499,9,,,,1,,4,,,1,3,,1111,322,
